Man-10,approaches-11,Customer-15:recipient
Hartigan-1,follows-9,Junior-10:recipient
Hartigan-1,frees-6,himself-7:recipient
Hartigan-1,follows-9,Farm-13:attachment
Hartigan-1,follows-9,Junior-10:recipient
Hartigan-1,survives-2,hanging-4:recipient
<NULL>,Bastard-13,impotence-17:location_of
Bastard-3,tries-4,<NULL>
<NULL>,screaming-9,taunts-12:recipient
Hartigan-18,kills-19,<NULL>
Bastard-1,confronts-2,Bastard-4:recipient
Bastard-1,stabs-2,<NULL>
Bastard-4,beats-16,head-19:recipient
Bastard-4,beats-16,then-15:modifier
Bastard-4,beats-16,pulp-22:modified_to
Nancy-1,watches-2,<NULL>
Hartigan-1,sends-2,home-4:recipient
police-17,reveal-25,once-29:modifier
police-17,reveal-25,corruption-28:recipient
Hartigan-9,has-10,<NULL>
Hartigan-9,is-10,<NULL>
Roark-12,come-14,will-13:modal_verb
Hartigan-3,knows-4,However-1:modifier
Hartigan-10,commits-11,suicide-12:recipient
<NULL>,sever-2,Nancy-8:attachment
<NULL>,sever-2,lead-6:recipient
Customer-2,is-3,phone-16:recipient
Customer-1,sees-7,Man-9:recipient
Customer-1,gets-2,elevator-5:is_participant_in
Man-3,is-4,who-2:recipient
