time-2,is-3,future-6:recipient
<NULL>,Dr-2,<NULL>
<NULL>,chasing-12,perpetrator-15:recipient
perpetrator-15,escapes-18,<NULL>
police-10,shot-7,Cole-5:recipient
James-10,is-13,<NULL>
Cole-20,named-9,James-10:recipient
perp-7,takes-8,seat-11:recipient
perp-7,gets-13,conversation-15:modified_to
We-1,recognize-2,Railly-3:recipient
We-1,recognize-2,present-12:performer
<NULL>,developed-32,cure-29:recipient
<NULL>,developed-32,so-26:modifier
<NULL>,developed-32,could-30:modal_verb
<NULL>,developed-32,present-35:is_participant_in
Cole-1,stated-3,<NULL>
Railly-1,says-8,cryptically-7:modifier
Railly-1,says-8,Railly-9:recipient
Railly-1,identifies-2,herself-3:recipient
