I-16,knew-17,Harvey_Dent-18:recipient
man-11,are-16,who-10:recipient
plan-6,matter-9,not-8:negative
man-21,plan-22,matters-24:recipient
man-3,says-4,<NULL>
I-13,put-14,<NULL>
man-3,admits-4,<NULL>
I-10,was-11,who-9:recipient
Wilson-19,removes-20,hood-23:recipient
one-7,cared-8,<NULL>
Bane-16,assures-17,<NULL>
Wilson-5,die-7,will-6:modal_verb
mask-19,be-21,<NULL>
Bane-16,assures-17,<NULL>
Wilson-9,takes-10,off-11:verb_complement
Wilson-9,takes-10,mask-13:recipient
Bane-16,assures-17,<NULL>
Wilson-1,asks-2,Wilson-26:with_respect_to
Wilson-1,asks-2,Bane-3:recipient
himself-6,asks-10,Wilson-11:recipient
<NULL>,getting-5,<NULL>
himself-6,asks-10,Wilson-11:recipient
himself-6,caught-7,<NULL>
himself-6,asks-10,Wilson-11:recipient
Wilson-1,congratulates-2,Bane-3:recipient
step-15,is-21,Wilson-11:recipient
they-9,are-10,now-13:modifier
Bane-55,breaks-56,handcuffs-59:recipient
Hercules-29,descended-32,<NULL>
<NULL>,crashing-5,plane-8:recipient
they-9,punches-61,Wilson-62:recipient
Bane-1,announces-3,boldly-2:modifier
Bane-1,announces-3,step-4:recipient
henchmen-2,attach-3,plane-7:attachment
henchmen-2,attach-3,cables-4:recipient
stress-9,tears-10,wings-12:recipient
stress-9,tears-10,off-13:verb_complement
plane-3,begins-4,<NULL>
<NULL>,blow-11,section-15:recipient
<NULL>,blow-11,off-12:verb_complement
henchmen-2,set-7,charges-9:recipient
henchmen-2,set-7,off-8:verb_complement
henchmen-2,climb-4,then-3:modifier
henchmen-2,climb-4,up-5:verb_complement
soldier-2,manages-8,<NULL>
soldier-2,draws-3,pistol-6:recipient
Bane-1,grabs-2,Dr-3:recipient
<NULL>,pulls-4,out-5:verb_complement
<NULL>,pulls-4,tube-8:recipient
<NULL>,Pavel-1,<NULL>
<NULL>,starts-12,<NULL>
Pavel-1,'s-2,arm-3:recipient
authorities-17,expect-18,<NULL>
authorities-17,find-20,wreckage-26:is_participant_in
authorities-17,expect-18,<NULL>
authorities-17,find-20,wreckage-26:is_participant_in
man-11,stop-13,<NULL>
<NULL>,escaping-7,<NULL>
authorities-17,expect-18,<NULL>
authorities-17,find-20,wreckage-26:is_participant_in
authorities-17,expect-18,<NULL>
authorities-17,find-20,wreckage-26:is_participant_in
man-11,stop-13,<NULL>
Bane-1,spots-2,<NULL>
Bane-13,says-14,rises-20:recipient
man-2,asks-3,Bane-4:recipient
Bane-13,says-14,rises-20:recipient
authorities-6,started-8,fire-10:recipient
Bane-1,attaches-2,himself-6:attachment
Bane-1,attaches-2,harness-4:recipient
<NULL>,plummet-12,Earth-14:attachment
detonator-5,releases-8,fuselage-10:recipient
Bane-1,sets-2,off-3:verb_complement
Bane-1,sets-2,detonator-5:recipient
<NULL>,Dr-3,<NULL>
<NULL>,Bane-1,<NULL>
<NULL>,reeled-4,Pavel-1:recipient
<NULL>,reeled-4,then-3:modifier
<NULL>,reeled-4,up-5:verb_complement
<NULL>,reeled-4,plane-9:modified_to
<NULL>,celebrated-13,anniversary-6:recipient
<NULL>,celebrated-13,Gotham-2:is_participant_in
Batman-30,taken-32,fall-34:time
Batman-30,taken-32,murders-26:destination
event-6,hosted-7,Bruce_Wayne_Christian_Bale-11:time_between
<NULL>,revealing-19,truth-21:recipient
time-51,is-52,<NULL>
Gordon-13,prepares-14,<NULL>
<NULL>,deciding-48,<NULL>
murders-26,followed-38,ago-37:modifier
murders-26,followed-38,resignation-43:time_between
<NULL>,having-57,<NULL>
Dent-67,stuffs-68,speech-70:recipient
Dent-67,stuffs-68,jacket-74:modified_to
<NULL>,dumping-37,mayor-38:recipient
<NULL>,dumping-37,spring-41:is_participant_in
Byron_Gilly_Brett_Cullen-12,informs-15,Peter-16:recipient
Peter_Foley_Matthew_Modine-5,talks-6,<NULL>
mayor-34,plans-35,<NULL>
Byron_Gilly_Brett_Cullen-12,is-25,hero-28:recipient
Miranda_Tate_Marion_Cotillard-1,are-28,<NULL>
Miranda_Tate_Marion_Cotillard-1,meet-31,Bruce-32:recipient
John_Daggett_Ben_Mendelsohn-9,try-10,<NULL>
Miranda_Tate_Marion_Cotillard-1,try-10,<NULL>
investor-5,try-10,<NULL>
investment-31,buys-32,<NULL>
Miranda-21,thinks-30,<NULL>
Daggett-1,is-2,<NULL>
Miranda-21,thinks-30,<NULL>
Daggett-1,is-6,<NULL>
Miranda-21,thinks-30,<NULL>
<NULL>,seeing-9,guy-11:recipient
Miranda-21,thinks-30,<NULL>
guy-11,threw-13,away-14:verb_complement
guy-11,threw-13,investment-16:recipient
<NULL>,delivering-26,dinner-27:recipient
<NULL>,is-8,<NULL>
Selina_Kyle_Anne_Hathaway-9,breaks-17,room-21:modified_to
<NULL>,built-20,safe-22:time_inside
burglar-3,'s-4,<NULL>
burglar-8,'s-9,necklace-13:recipient
necklace-13,has-16,device-19:recipient
<NULL>,observing-8,photo-10:recipient
Hathaway-1,starts-2,<NULL>
<NULL>,observing-8,photo-10:recipient
<NULL>,looking-3,<NULL>
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
<NULL>,shooting-26,arrow-28:recipient
<NULL>,shooting-26,bullseye-31:modified_to
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
Bruce-13,announces-23,himself-24:recipient
Bruce-13,comes-14,in-15:modifier
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
<NULL>,shooting-26,arrow-28:recipient
<NULL>,shooting-26,bullseye-31:modified_to
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
Bruce-13,announces-23,himself-24:recipient
<NULL>,embedded-9,target-11:is_participant_in
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
<NULL>,shooting-26,arrow-28:recipient
<NULL>,shooting-26,bullseye-31:modified_to
Selina-34,jump-36,<NULL>
Bruce-13,causing-33,Selina-34:recipient
Bruce-13,announces-23,himself-24:recipient
she-2,notices-3,target-5:recipient
<NULL>,does-10,<NULL>
Hathaway-1,tries-2,<NULL>
comments-7,make-17,Bruce-18:recipient
Bruce-1,outs-7,Hathaway-8:recipient
Bruce-1,notices-3,necklace-5:recipient
Bruce-1,notices-3,immediately-2:modifier
Caught-1,change-8,<NULL>
Bruce-5,beat-8,much-13:modifier
Bruce-5,beat-8,up-9:verb_complement
Bruce-5,beat-8,not-7:negative
Bruce-5,beat-8,would-6:modal_verb
Bruce-5,beat-8,woman-11:recipient
<NULL>,have-24,<NULL>
<NULL>,doing-20,window-26:object
<NULL>,doing-20,backflip-22:recipient
cane-5,escapes-18,then-17:modifier
changes-2,asks-18,ride-21:destination
changes-2,makes-9,car-16:attachment
changes-2,makes-9,way-11:recipient
<NULL>,looking-11,safe-15:site
Alfred_Michael_Caine-1,comes-2,up-3:verb_complement
Alfred_Michael_Caine-1,comes-2,room-7:attachment
Alfred_Michael_Caine-1,finds-9,Bruce-10:recipient
<NULL>,was-5,<NULL>
Selina-9,took-11,copy-13:recipient
Selina-9,took-11,also-10:modifier
Bruce-1,realizes-7,<NULL>
Bruce-1,found-3,dust-5:recipient
Gordon-5,looks-6,night-3:time
Blake-4,has-5,suspicions-6:recipient
Gordon-19,takes-23,look-25:recipient
Gordon-19,dismisses-20,Gordon-21:recipient
Gordon-19,departs-31,<NULL>
Blake-1,reveals-2,<NULL>
<NULL>,working-8,<NULL>
Alfred-5,finds-6,morning-3:time
Alfred-5,finds-6,Bruce-7:recipient
thief-5,using-7,<NULL>
prints-2,were-8,Batcave-10:recipient
<NULL>,using-5,pearls-7:recipient
Bruce-1,notes-2,<NULL>
Bruce-12,get-16,address-23:recipient
Bruce-12,get-16,address-20:recipient
Bruce-12,was-13,<NULL>
Selina-1,is-2,thief-6:recipient
<NULL>,nicknamed-7,<NULL>
Kyle-27,sixteen-29,just-28:modifier
Kyle-27,sixteen-29,when-26:modifier
<NULL>,arrested-4,times-7:recipient
<NULL>,arrested-4,Kyle-1:recipient
<NULL>,had-18,move-11:recipient
<NULL>,had-18,ago-25:modifier
Bruce-4,go-5,out-6:verb_complement
Alfred-1,suggests-2,<NULL>
Alfred-21,hoped-22,years-11:prep_during
Alfred-21,hoped-22,years-11:prep_during
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Bruce-13,become-18,<NULL>
Alfred-21,hoped-22,years-11:prep_during
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Bruce-13,Gotham-16,<NULL>
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Alfred-21,hoped-22,years-11:prep_during
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Bruce-13,returned-14,<NULL>
<NULL>,informing-5,when-4:modifier
<NULL>,informing-5,Bruce-6:recipient
Alfred-21,hoped-22,years-11:prep_during
Alfred-21,hoped-22,years-11:prep_during
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Bruce-13,become-18,<NULL>
Alfred-21,hoped-22,years-11:prep_during
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Bruce-13,Gotham-16,<NULL>
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Alfred-21,hoped-22,years-11:prep_during
Bruce-24,return-27,never-26:negative
Bruce-24,return-27,would-25:modal_verb
Bruce-13,returned-14,<NULL>
surprises-2,Bruce-3,<NULL>
Italy-19,disappeared-23,cafe-11:is_participant_in
Bruce-1,tells-2,Bruce-3:recipient
<NULL>,having-36,life-39:recipient
Bruce-25,see-27,would-26:modal_verb
Bruce-25,see-27,happily-29:recipient
Bruce-5,wished-6,<NULL>
They-1,acknowledge-4,would-2:modal_verb
They-1,acknowledge-4,silently-3:modifier
Swithin-1,'s-2,<NULL>
Wayne_Foundation-34,funded-31,orphanage-26:recipient
Blake-21,grew-22,orphanage-26:is_participant_in
Blake-21,grew-22,up-23:verb_complement
we-18,realize-19,<NULL>
Blake-1,has-2,relationship-6:recipient
employment-15,makes-18,<NULL>
sewers-12,provide-13,employment-15:recipient
employment-15,makes-18,<NULL>
<NULL>,informs-8,Blake-9:recipient
Selina_Kyle-6,walks-7,later-4:modifier
Selina_Kyle-6,walks-7,bar-10:modified_to
man-3,meets-15,<NULL>
man-3,walks-9,table-13:attachment
man-3,walks-9,then-8:modifier
man-3,walks-9,over-10:verb_complement
slide-5,contains-7,<NULL>
hands-2,man-3,slide-5:recipient
<NULL>,lock-21,door-23:recipient
man-13,signals-14,one-16:destination
Selina-2,asks-3,When-1:modifier
Stryver-5,has-6,something-7:recipient
Bruce-27,need-29,well-33:modifier
Bruce-27,need-29,will-28:modal_verb
Bruce-27,need-29,thumbprint-31:recipient
Kyle-25,knows-26,<NULL>
Selina-1,admits-5,<NULL>
Bruce-27,need-29,well-33:modifier
Bruce-27,need-29,will-28:modal_verb
Bruce-27,need-29,thumbprint-31:recipient
Kyle-25,knows-26,<NULL>
Selina-1,smiles-2,<NULL>
<NULL>,put-5,pistol-7:recipient
<NULL>,put-5,head-11:attachment
Stryver-1,has-2,hoodlum-4:recipient
<NULL>,threaten-13,Kyle-14:recipient
hands-8,tells-15,hoodlum-16:recipient
hands-8,Kyle-9,Stryver-13:attachment
hands-8,Kyle-9,phone-11:recipient
Kyle-1,hesitates-2,moment-5:destination
knock-4,is-2,<NULL>
friend-12,comes-20,in-21:verb_complement
<NULL>,named-17,Jen_Juno_Temple-18:recipient
Jen-29,leaves-30,<NULL>
Selina-14,assures-15,Kyle-16:recipient
place-7,seems-8,quiet-11:object
Jen-29,leaves-30,<NULL>
Selina-14,assures-15,Kyle-16:recipient
woman-1,notices-4,<NULL>
Jen-29,leaves-30,<NULL>
place-19,liven-21,will-20:modal_verb
place-19,liven-21,minutes-26:is_participant_in
place-19,liven-21,up-22:verb_complement
Jen-29,leaves-30,<NULL>
Selina-14,assures-15,Kyle-16:recipient
woman-1,enters-2,<NULL>
Selina-1,hands-3,then-2:modifier
<NULL>,containing-7,slide-10:recipient
friend-1,informs-13,Selina-14:recipient
Kyle-22,decided-24,<NULL>
<NULL>,prepared-7,<NULL>
anyone-35,missed-33,will-30:modal_verb
anyone-35,missed-33,even-17:modifier
anyone-35,missed-33,Selina-14:recipient
anyone-35,missed-33,not-31:negative
anyone-35,missed-33,Kyle-29:modifier
friend-1,draws-2,pistol-5:recipient
Stryver-46,used-50,accidentally-49:modifier
Stryver-46,used-50,phone-55:recipient
Stryver-46,used-50,just-48:modifier
cops-26,missing-28,friend-30:recipient
friend-30,is-36,congressman-43:recipient
Stryver-46,used-50,accidentally-49:modifier
Stryver-46,used-50,phone-55:recipient
Stryver-46,used-50,just-48:modifier
Kyle-14,says-15,<NULL>
Stryver-46,used-50,accidentally-49:modifier
Stryver-46,used-50,phone-55:recipient
Stryver-46,used-50,just-48:modifier
Selina-5,reveals-6,Unfortunately-1:modifier
Selina-5,reveals-6,Stryver-3:with_respect_to
Stryver-46,used-50,accidentally-49:modifier
Stryver-46,used-50,phone-55:recipient
Stryver-46,used-50,just-48:modifier
Kyle-8,anticipated-10,<NULL>
<NULL>,be-20,<NULL>
<NULL>,filled-6,Suddenly-1:modifier
<NULL>,filled-6,room-4:recipient
<NULL>,screeching-13,outside-17:attachment
<NULL>,disarming-13,thug-15:recipient
<NULL>,disarming-13,thug-15:recipient
attacks-10,thugs-11,<NULL>
pistols-7,thugs-11,<NULL>
thugs-4,draw-5,Immediately-1:modifier
advances-6,drawn-15,up-7:modifier
henchmen-18,escape-19,out-20:verb_complement
<NULL>,knocking-12,out-14:verb_complement
<NULL>,knocking-12,thug-13:recipient
henchmen-18,escape-19,out-20:verb_complement
Selina-1,drags-6,thug-7:recipient
henchmen-18,escape-19,out-20:verb_complement
Selina-1,wrestles-2,<NULL>
<NULL>,battering-10,<NULL>
officers-6,begin-7,then-2:modifier
officers-6,begin-7,Just-1:modifier
Selina-6,shoots-18,henchman-20:recipient
Selina-6,grabs-7,pistol-10:recipient
<NULL>,act-4,<NULL>
thug-6,tries-9,<NULL>
Selina_pistolpunches_Stryver-1,shoots-4,then-3:modifier
<NULL>,shooting-8,henchman-11:recipient
officers-13,enter-14,<NULL>
team-3,breaches-4,doors-6:recipient
<NULL>,pretending-6,<NULL>
Selina-1,screams-3,promptly-2:modifier
Selina-1,screams-3,hysterically-4:modifier
<NULL>,be-8,<NULL>
fire-20,ensues-26,where-16:modifier
officers-3,chase-4,thugs-6:recipient
officers-3,chase-4,kitchen-9:modified_to
Kyle-41,runs-43,immediately-42:modifier
Kyle-41,runs-43,where-40:modifier
Kyle-41,runs-43,Blake-45:modified_to
Kyle-49,passes-50,off-52:verb_complement
Kyle-49,passes-50,herself-51:recipient
Kyle-49,passes-50,whom-48:recipient
congressman-12,taken-16,bullet-18:recipient
<NULL>,Amidst-1,echoes-3:recipient
Selina-7,walks-8,over-9:verb_complement
Selina-7,walks-8,congressman-12:attachment
Blake-5,makes-6,way-9:recipient
Selina-2,escapes-3,<NULL>
<NULL>,pinned-19,down-20:verb_complement
<NULL>,pinned-19,truck-24:support
<NULL>,pinned-19,officers-14:recipient
Blake-1,heads-2,back-4:modifier
Blake-1,heads-2,out-3:verb_complement
Barsad-15,shoots-23,back-29:is_participant_in
Barsad-15,shoots-23,back-29:is_participant_in
<NULL>,prepare-6,<NULL>
Barsad-15,shoots-23,back-29:is_participant_in
<NULL>,stationed-17,<NULL>
officers-2,break-3,<NULL>
Barsad-15,shoots-23,back-29:is_participant_in
Barsad-15,shoots-23,back-29:is_participant_in
<NULL>,prepare-6,<NULL>
Barsad-15,shoots-23,back-29:is_participant_in
<NULL>,stationed-17,<NULL>
<NULL>,cover-4,henchmen-13:site
<NULL>,cover-4,guns-10:attachment
<NULL>,remaining-2,<NULL>
Foley-18,arrive-19,<NULL>
Gordon-16,arrive-19,<NULL>
<NULL>,remaining-2,<NULL>
officers-10,disappear-11,<NULL>
henchmen-3,sprint-4,safety-6:destination
henchmen-6,find-11,<NULL>
men-14,vanished-16,<NULL>
officers-1,enter-2,alley-4:recipient
henchmen-6,find-11,<NULL>
men-14,vanished-16,<NULL>
henchmen-6,fled-7,alley-4:modified_to
<NULL>,search-29,tunnel-31:recipient
<NULL>,search-29,tunnel-31:recipient
Gordon-16,takes-22,officers-25:recipient
Gordon-16,spots-17,manhole-20:recipient
Gordon-16,takes-22,officers-25:recipient
officers-4,head-5,up-6:verb_complement
officers-4,head-5,stairwell-8:recipient
<NULL>,search-29,tunnel-31:recipient
<NULL>,search-29,tunnel-31:recipient
Gordon-16,takes-22,officers-25:recipient
Gordon-16,spots-17,manhole-20:recipient
Gordon-16,takes-22,officers-25:recipient
<NULL>,look-10,henchmen-13:destination
<NULL>,look-10,there-14:modifier
men-3,climb-4,ladder-7:recipient
men-3,climb-4,down-5:verb_complement
men-3,climb-4,sewers-10:modified_to
thugs-8,open-11,<NULL>
thugs-8,ambush-9,fire-12:recipient
thugs-8,open-11,<NULL>
men-2,searching-4,tunnel-6:recipient
<NULL>,taking-6,out-7:verb_complement
<NULL>,taking-6,backup-10:recipient
bomb-2,goes-3,off-4:verb_complement
<NULL>,shooting-12,fireball-14:recipient
Blake-11,runs-20,car-24:attachment
Blake-11,runs-20,quickly-19:modifier
Blake-11,realizes-12,<NULL>
Foley-1,mistakes-2,blast-4:recipient
Gordon-14,turn-16,up-17:verb_complement
Gordon-14,turn-16,might-15:modal_verb
Gordon-14,turn-16,where-13:modifier
<NULL>,drawn-14,<NULL>
Gordon-2,starts-3,further-4:modifier
Gordon-2,starts-3,tunnel-7:modified_to
<NULL>,help-20,Gordon-21:recipient
<NULL>,corner-28,Gordon-29:recipient
<NULL>,knock-33,out-35:verb_complement
<NULL>,knock-33,Gordon-34:recipient
They-1,drag-10,Gordon-11:recipient
They-1,grab-2,Gordon-3:recipient
They-1,grab-2,arms-7:means
<NULL>,overseeing-17,teams-18:recipient
<NULL>,overseeing-17,teams-18:recipient
<NULL>,doing-21,construction-22:recipient
Gordon-8,notices-9,men-10:recipient
<NULL>,doing-21,construction-22:recipient
<NULL>,dragged-4,deeper-5:modifier
<NULL>,dragged-4,Gordon-2:recipient
deposit-15,Gordon-16,Bane-22:prep_in_front_of
deposit-15,Gordon-16,where-13:modifier
henchmen-3,bring-4,Gordon-5:recipient
henchmen-7,thought-8,why-6:modifier
Bane-1,asks-2,henchmen-5:recipient
henchmen-22,failed-24,duties-27:is_participant_in
comrade-10,know-13,not-12:negative
Bane-6,know-13,not-12:negative
Bane-18,tells-19,henchmen-20:recipient
weakness-31,cost-33,lives-35:recipient
one-4,says-5,When-1:modifier
Bane-1,tells-10,then-9:modifier
Bane-13,kill-15,Bane-16:recipient
Bane-13,kill-15,will-14:modal_verb
thug-3,empties-4,pockets-7:recipient
speech-10,is-11,<NULL>
Bane-1,looks-2,<NULL>
Gordon-1,sees-2,<NULL>
<NULL>,turned-17,<NULL>
<NULL>,occupied-8,captors-6:recipient
Bane-12,has-13,back-16:recipient
Bane-12,has-13,when-11:modifier
Bane-19,rolls-20,platform-23:recipient
Bane-19,rolls-20,waterway-26:modified_to
Bane-19,rolls-20,off-21:verb_complement
men-3,open-4,fire-5:recipient
Gordon-9,floats-10,away-11:verb_complement
Bane-9,places-10,device-6:recipient
hands-2,Bane-3,device-6:recipient
Blake-25,finds-26,Gordon-27:recipient
Blake-25,finds-26,where-24:modifier
Blake-5,rushes-18,grate-22:attachment
Blake-5,jumps-6,tunnels-3:prep_outside
Blake-5,jumps-6,car-11:object
Bruce-29,is-30,Batman-31:recipient
Bruce-23,figured-25,out-26:verb_complement
Bruce-23,figured-25,himself-27:recipient
<NULL>,being-21,<NULL>
Blake-8,goes-9,<NULL>
<NULL>,gambling-36,<NULL>
mother-15,died-16,accident-20:is_participant_in
Gordon-7,was-8,<NULL>
<NULL>,shot-32,father-30:recipient
<NULL>,shot-32,dispute-37:is_participant_in
<NULL>,shot-32,later-26:modifier
<NULL>,shot-32,dead-33:verb_complement
Gordon-1,explains-2,Bruce-4:attachment
<NULL>,growing-13,up-14:verb_complement
Gordon-1,figured-3,identity-7:recipient
Gordon-1,figured-3,fact-10:raw_material
Gordon-1,figured-3,out-4:verb_complement
Blake-19,learned-20,mirror-25:is_participant_in
Blake-19,learned-20,smile-22:attachment
None-1,believe-12,babbling-15:recipient
Blake-22,makes-23,plea-25:recipient
Bruce-8,asks-9,Alfred-10:recipient
Bruce-2,watches-3,<NULL>
Bruce-8,asks-9,Alfred-10:recipient
Blake-4,drive-5,off-6:verb_complement
Alfred-1,mentions-2,<NULL>
<NULL>,known-11,it-9:recipient
Bane-4,is-5,<NULL>
Alfred-13,carried-18,out-19:verb_complement
Alfred-13,carried-18,coup-21:recipient
men-17,carried-18,out-19:verb_complement
men-17,carried-18,coup-21:recipient
country-26,secured-28,operations-31:recipient
country-26,secured-28,Daggett-33:destination
Alfred-15,reveals-16,<NULL>
profits-24,funded-21,Wayne_Foundation-19:recipient
foundation-7,stopped-8,why-4:modifier
Bruce-1,asks-2,Alfred-3:recipient
Bruce-10,asks-11,Alfred-12:recipient
<NULL>,talk-6,Fox-8:attachment
<NULL>,seen-4,then-3:modifier
<NULL>,seen-4,Fox-1:recipient
Bruce-10,fastropes-16,room-22:attachment
Bruce-10,fastropes-16,down-17:verb_complement
Bruce-10,dons-11,mask-14:recipient
Bruce-10,dons-11,soon-2:modifier
Bruce-10,fastropes-16,room-22:attachment
Bruce-10,fastropes-16,down-17:verb_complement
doctor-5,leaves-6,room-8:recipient
Gordon-3,hooked-4,up-5:verb_complement
Gordon-3,hooked-4,machines-8:attachment
doctor-1,finds-2,<NULL>
Batman-10,return-12,must-11:modal_verb
Gordon-7,insists-8,<NULL>
<NULL>,using-14,device-17:recipient
<NULL>,planted-18,necklace-24:is_participant_in
Bruce-1,tracks-3,down-4:verb_complement
Bruce-1,tracks-3,Selina_Kyle-5:recipient
Bruce-1,tracks-3,next-2:modifier
Selina-3,go-13,night-17:destination
Selina-3,go-13,out-14:verb_complement
Selina-3,preparing-11,<NULL>
Kyle-22,hears-23,commotion-25:recipient
Kyle-22,hears-23,when-21:modifier
Selina-3,put-5,<NULL>
Jen-8,pickpocketed-10,<NULL>
yuppie-7,threatened-4,Jen-1:recipient
Selina-1,defuses-2,situation-4:recipient
<NULL>,forcing-12,process-20:is_participant_in
<NULL>,forcing-12,guy-13:recipient
<NULL>,twisting-6,hand-10:recipient
<NULL>,stealing-21,watch-24:recipient
Kyle-5,follows-14,Kyle-15:recipient
Kyle-5,climbs-8,cab-11:modified_to
Kyle-5,follows-14,Kyle-15:recipient
Bruce-1,watches-3,then-2:modifier
Kyle-5,follows-14,Kyle-15:recipient
Kyle-5,emerges-6,<NULL>
Bruce-1,ends-2,up-3:verb_complement
greeter-45,waved-41,through-42:verb_complement
paparazzi-12,recognize-13,Bruce-14:recipient
paparazzi-12,start-16,photos-19:attachment
pocket-31,shuts-33,down-34:verb_complement
pocket-31,shuts-33,cameras-37:recipient
Bruce-24,uses-25,pocket-31:is_participant_in
Bruce-2,leaves-3,car-6:recipient
Selina-5,dancing-9,Inside-1:modifier
Kyle-1,wearing-3,mask-6:recipient
Kyle-1,wearing-3,headband-9:recipient
Miranda_Tate-10,approached-8,Bruce-6:recipient
Bruce-18,retired-19,even-16:modifier
Bruce-18,retired-19,role-23:raw_material
Bruce-9,came-12,ever-11:modifier
Bruce-9,came-12,rarely-10:modifier
Bruce-9,came-12,events-15:attachment
Kyle-1,is-2,<NULL>
Bruce-18,retired-19,even-16:modifier
Bruce-18,retired-19,role-23:raw_material
Bruce-9,came-12,ever-11:modifier
Bruce-9,came-12,rarely-10:modifier
Bruce-9,came-12,events-15:attachment
Kyle-1,see-5,Bruce-6:recipient
Bruce-17,track-20,down-21:verb_complement
Bruce-17,track-20,Selina-22:recipient
Miranda-13,departs-14,then-12:modifier
they-1,make-2,smalltalk-4:recipient
Bruce-1,cuts-2,<NULL>
routine-12,begins-13,<NULL>
partner-1,is-2,<NULL>
Bruce-5,came-6,<NULL>
Kyle-8,desire-9,<NULL>
they-2,waltz-4,slowly-3:modifier
Kyle-8,claims-17,<NULL>
Selina-6,reveals-7,<NULL>
<NULL>,are-11,<NULL>
Bruce-1,tells-2,Kyle-3:recipient
Selina-1,tells-2,Bruce-3:recipient
Kyle-21,'s-22,<NULL>
necklace-9,looks-10,better-11:modifier
<NULL>,locked-15,safe-18:is_participant_in
Bruce-20,believe-23,not-22:negative
Bruce-29,removes-30,neck-34:raw_material
Bruce-29,removes-30,they-31:recipient
Bruce-2,admits-3,<NULL>
mother-24,deserves-25,necklace-26:recipient
<NULL>,planting-7,kiss-10:recipient
<NULL>,planting-7,suddenly-6:modifier
<NULL>,planting-7,process-16:is_participant_in
<NULL>,pickpocketing-17,ticket-21:recipient
Selina-1,responds-2,this-4:attachment
Selina-1,leaves-25,then-24:modifier
Kyle-9,stolen-11,car-14:recipient
<NULL>,pretending-16,<NULL>
<NULL>,be-18,<NULL>
Bruce-1,finds-3,then-2:modifier
Bruce-1,finds-3,way-7:recipient
Bruce-1,finds-3,out-4:verb_complement
ownership-23,keeps-26,Daggett-27:recipient
Lucius_Fox_Morgan_Freeman-14,assures-17,Freeman-18:recipient
