Harry_Goldfarb_Jared_Leto-1,are-4,friends-6:recipient
<NULL>,sent-7,Tyrone-1:recipient
<NULL>,punishing-19,detail-21:recipient
<NULL>,punishing-19,Tyrone-12:recipient
<NULL>,punishing-19,detail-21:recipient
<NULL>,punishing-19,Tyrone-12:recipient
<NULL>,subjected-14,where-11:modifier
<NULL>,subjected-14,Tyrone-12:recipient
<NULL>,subjected-14,guards-17:attachment
<NULL>,arrested-5,jail-9:attachment
<NULL>,arrested-5,Tyrone-1:recipient
<NULL>,arrested-5,Harry-3:recipient
Harry-1,uses-2,<NULL>
phone-5,call-6,<NULL>
Harry-19,lying-21,<NULL>
Connelly-17,knows-18,<NULL>
Connelly-17,knows-18,<NULL>
Harry-11,promises-12,<NULL>
Connelly-1,begs-2,Harry-3:recipient
Marion-8,attend-14,party-17:recipient
<NULL>,getting-10,<NULL>
<NULL>,dressed-11,Marion-8:recipient
<NULL>,dressed-11,up-12:verb_complement
Wayans-2,speak-3,<NULL>
psychosis-16,deepens-18,only-17:modifier
Sara-6,refuses-10,<NULL>
psychosis-16,deepens-18,only-17:modifier
Sara-6,refuses-7,hospital-4:site
Sara-6,refuses-7,treatment-8:recipient
<NULL>,put-14,Burstyn-15:recipient
Burstyn-4,signs-8,authorization-10:recipient
Burstyn-4,signs-8,doctors-12:destination
Burstyn-4,signs-8,unknowingly-7:modifier
Burstyn-4,unwittingly-5,<NULL>
pain-29,bear-36,<NULL>
doctor-10,finds-11,<NULL>
pain-29,is-30,<NULL>
arm-14,become-16,black-19:object
arm-14,gives-21,odor-25:recipient
arm-14,gives-21,off-22:verb_complement
<NULL>,save-26,life-29:recipient
doctors-14,cut-17,off-18:verb_complement
doctors-14,cut-17,shoulder-24:site
doctors-14,cut-17,immediately-16:modifier
doctors-14,cut-17,must-15:modal_verb
doctors-14,cut-17,arm-21:recipient
doctors-11,determine-13,quickly-12:modifier
doctors-11,determine-13,where-9:modifier
<NULL>,sent-3,infirmary-7:attachment
<NULL>,sent-3,doctor-1:recipient
<NULL>,ass-19,<NULL>
Marion-7,engages-8,variety-11:is_participant_in
Marion-7,engages-8,party-5:site
Harry-1,awakens-23,then-22:modifier
Harry-1,awakens-23,Lianna_Pai-34:dependent
Harry-1,awakens-23,ward-27:is_participant_in
<NULL>,running-6,Marion-10:prep_toward
Harry-1,awakens-23,then-22:modifier
Harry-1,awakens-23,Lianna_Pai-34:dependent
Harry-1,awakens-23,ward-27:is_participant_in
Connelly-12,waits-13,Harry-15:with_respect_to
<NULL>,watching-35,<NULL>
Harry-1,awakens-23,then-22:modifier
Harry-1,awakens-23,Lianna_Pai-34:dependent
Harry-1,awakens-23,ward-27:is_participant_in
<NULL>,smiling-9,<NULL>
Harry-1,awakens-23,then-22:modifier
Harry-1,awakens-23,Lianna_Pai-34:dependent
Harry-1,awakens-23,ward-27:is_participant_in
Harry-1,has-2,dream-4:recipient
nurse-9,promises-10,<NULL>
Harry-2,speak-3,name-6:recipient
Connelly-18,come-19,<NULL>
Harry-8,knows-9,Connelly-13:recipient
<NULL>,lost-12,<NULL>
Connelly-4,come-7,not-6:negative
Connelly-4,come-7,will-5:modal_verb
Harry-2,knows-3,<NULL>
Marion-1,arrives-2,home-3:recipient
Marion-1,arrives-2,party-7:raw_material
Big_Tim-24,likes-25,Connelly-26:object
<NULL>,be-29,<NULL>
<NULL>,paid-20,well-22:modifier
Connelly-1,smiles-8,blissfully-9:modifier
Connelly-1,lies-2,down-3:verb_complement
<NULL>,ushered-7,prisoners-5:recipient
<NULL>,ushered-7,cell-11:modified_to
<NULL>,ushered-7,Tyrone-1:recipient
<NULL>,visit-6,Connelly-7:recipient
<NULL>,are-14,<NULL>
<NULL>,waiting-42,bus-45:destination
<NULL>,waiting-42,back-46:modifier
Tyrone-33,sob-34,uncontrollably-35:modifier
Tyrone-33,sob-34,others-38:is_participant_in
<NULL>,shown-6,characters-4:recipient
Harry-31,become-39,dreams-36:is_participant_in
Harry-31,become-39,audience-51:attachment
<NULL>,marry-45,Marion-46:recipient
<NULL>,engaged-43,<NULL>
Sara-5,looking-27,showing-29:recipient
Sara-5,looking-27,Harry-31:away_from_location
movie-2,closes-3,<NULL>
Harry-31,become-39,dreams-36:is_participant_in
Harry-31,become-39,audience-51:attachment
<NULL>,marry-45,Marion-46:recipient
<NULL>,engaged-43,<NULL>
Sara-5,looking-27,showing-29:recipient
Sara-5,looking-27,Harry-31:away_from_location
Sara-5,having-6,hallucination-8:recipient
Burstyn-10,is-11,winner-15:recipient
