Scorsese-12,runs-13,casino-17:recipient
guys-11,ripping-17,Nance-18:recipient
Piscano-1,expresses-3,also-2:modifier
Piscano-1,expresses-3,belief-6:recipient
<NULL>,counting-14,<NULL>
FBI-9,collecting-24,investigation-28:is_participant_in
FBI-9,collecting-24,evidence-25:recipient
<NULL>,involving-17,homicide-20:recipient
<NULL>,is-6,<NULL>
FBI-9,has-10,wire-13:recipient
senator-8,drops-9,motion-12:recipient
senator-8,drops-9,hearing-5:site
<NULL>,denying-13,license-17:recipient
Commissioner-3,pulled-6,apparently-5:modifier
Commissioner-3,pulled-6,strings-8:recipient
Andy_Stone-9,suggests-10,Gaggi-12:attachment
Stone-14,run-16,casino-18:recipient
Stone-14,run-16,could-15:modal_verb
<NULL>,wondering-2,<NULL>
Gaggi-1,agrees-2,long-5:modifier
Ace-1,does-2,opposite-5:recipient
manager-16,talks-18,frequently-17:modifier
manager-16,talks-18,lawsuit-22:location_of
talk-6,show-7,High-9:recipient
manager-16,talks-18,frequently-17:modifier
manager-16,talks-18,lawsuit-22:location_of
manager-11,has-12,where-10:modifier
manager-11,has-12,guests-14:recipient
manager-16,talks-18,frequently-17:modifier
manager-16,talks-18,lawsuit-22:location_of
manager-1,sets-2,up-3:verb_complement
Stone-15,quit-18,probably-17:modifier
Stone-15,quit-18,should-16:modal_verb
Remo-8,tells-9,Stone-10:recipient
<NULL>,upset-3,Everyone-1:recipient
Ace-5,defends-6,meeting-3:prep_during
<NULL>,issued-30,license-34:recipient
TV-14,show-15,<NULL>
manager-25,be-27,will-26:modal_verb
manager-25,be-27,eventually-28:modifier
Nicky-30,takes-31,off-34:verb_complement
Nicky-30,takes-31,time-33:recipient
problem-8,is-9,<NULL>
problem-8,suggests-28,<NULL>
behavior-18,brought-20,way-21:recipient
behavior-18,brought-20,heat-24:recipient
<NULL>,stating-12,<NULL>
Ace-1,complains-3,also-2:modifier
Stone-21,talk-24,again-29:modifier
Stone-21,talk-24,never-22:negative
Stone-21,talk-24,Stone-26:support
Stone-18,tells-20,furiously-19:modifier
Stone-18,tells-20,where-17:modifier
Stone-18,tells-20,Stone-21:recipient
Stone-2,tells-3,Nicky-4:recipient
Stone-2,tells-3,When-1:modifier
Stone-21,talk-24,again-29:modifier
Stone-21,talk-24,never-22:negative
Stone-21,talk-24,Stone-26:support
Stone-18,tells-20,furiously-19:modifier
Stone-18,tells-20,where-17:modifier
Stone-18,tells-20,Stone-21:recipient
Ace-6,said-7,Nicky-4:recipient
Stone-21,talk-24,again-29:modifier
Stone-21,talk-24,never-22:negative
Stone-21,talk-24,Stone-26:support
Stone-18,tells-20,furiously-19:modifier
Stone-18,tells-20,where-17:modifier
Stone-18,tells-20,Stone-21:recipient
Nicky-9,meets-10,out-12:verb_complement
Nicky-9,meets-10,desert-15:is_participant_in
Nicky-9,meets-10,Ace-11:recipient
Nicky-25,know-28,Nicky-29:recipient
Nicky-25,know-28,not-27:negative
<NULL>,are-3,<NULL>
Tangiers-10,acting-16,dealer-21:prep_toward
Tangiers-10,acting-16,hostile-17:recipient
Nicky-5,shows-6,up-7:verb_complement
Tangiers-10,acting-16,dealer-21:prep_toward
Tangiers-10,acting-16,hostile-17:recipient
<NULL>,banned-14,<NULL>
Nicky-12,loses-13,temper-16:recipient
Nicky-12,loses-13,again-17:modifier
Nicky-12,loses-13,time-20:dependent
Nicky-4,get-9,out-10:verb_complement
Ace-2,tells-3,Nicky-4:recipient
Nicky-1,beats-8,Nicky-9:recipient
Nicky-1,calls-2,<NULL>
<NULL>,asking-13,alimony-15:destination
Ginger-1,files-9,divorce-11:destination
Ginger-1,had-4,now-3:modifier
Ginger-17,blow-20,just-19:modifier
Ginger-17,blow-20,money-22:recipient
Ginger-17,blow-20,away-23:modifier
Ginger-17,blow-20,will-18:modal_verb
<NULL>,trust-30,not-29:negative
<NULL>,trust-30,Ginger-31:recipient
Ginger-11,'s-12,<NULL>
Ace-1,want-4,not-3:negative
Ace-1,want-4,Ginger-5:recipient
<NULL>,go-13,shopping-14:recipient
Ace-1,decides-2,<NULL>
<NULL>,realizes-9,<NULL>
<NULL>,tries-3,When-1:modifier
<NULL>,demanding-5,<NULL>
<NULL>,returned-9,Amy-7:recipient
<NULL>,returned-9,Lester-11:attachment
Ace-1,calls-2,Lester-3:recipient
Ginger-1,is-2,<NULL>
Amy-19,worry-22,not-20:negative
Nicky-15,tells-18,Amy-19:recipient
Ace-6,calls-14,Nicky-15:recipient
Amy-19,worry-22,not-20:negative
Nicky-15,tells-18,Amy-19:recipient
Ace-6,send-8,will-7:modal_verb
Ace-6,send-8,someone-9:recipient
Nicky-1,tells-2,Ace-3:recipient
Ace-1,decides-2,<NULL>
<NULL>,Amy-12,Lester-15:recipient
<NULL>,is-5,<NULL>
<NULL>,giving-14,<NULL>
Nicky-4,hears-5,night-2:time
<NULL>,kill-13,Nicky-14:recipient
Livid-1,throws-15,Amy-16:recipient
Livid-1,throws-15,house-20:object
Livid-1,gives-7,money-10:recipient
Livid-1,gives-7,clothes-12:recipient
Livid-1,gives-7,Amy-8:recipient
Ace-6,reveals-7,<NULL>
Amy-1,comes-2,back-3:verb_complement
Nicky-9,loves-11,Amy-12:recipient
Nicky-9,loves-11,still-10:modifier
Nicky-1,makes-2,<NULL>
Amy-12,is-13,times-16:recipient
Amy-3,wear-4,beeper-6:recipient
Nicky-11,help-13,can-12:modal_verb
<NULL>,asking-8,Nicky-9:recipient
<NULL>,get-14,money-16:recipient
Amy-1,goes-2,<NULL>
cops-10,take-11,affair-6:recipient
cops-10,take-11,pictures-12:recipient
<NULL>,start-4,then-3:modifier
<NULL>,start-4,affair-6:recipient
affair-21,get-23,could-22:modal_verb
<NULL>,killed-28,<NULL>
Nicky-10,warns-11,Amy-12:recipient
affair-21,get-23,could-22:modal_verb
<NULL>,killed-28,<NULL>
Amy-14,needs-15,<NULL>
affair-21,get-23,could-22:modal_verb
<NULL>,killed-28,<NULL>
Ace-2,comes-3,<NULL>
<NULL>,giving-10,Amy-11:recipient
<NULL>,giving-10,warning-14:recipient
Amy-2,continues-4,affair-6:recipient
Amy-2,continues-4,still-3:modifier
Gaggi-9,asks-10,Marino-11:recipient
Marino-13,knows-14,<NULL>
Frankie_Marino-2,flies-3,When-1:modifier
Frankie_Marino-2,flies-3,out-4:verb_complement
Nicky-16,sleeping-18,<NULL>
Nicky-17,told-18,truth-20:recipient
Ginger-11,killed-15,<NULL>
Ace-9,killed-15,<NULL>
Nicky-14,killed-15,<NULL>
affair-6,get-8,could-7:modal_verb
Nicky-17,told-18,truth-20:recipient
Ginger-11,killed-15,<NULL>
Ace-9,killed-15,<NULL>
Nicky-14,killed-15,<NULL>
Marino-4,knew-5,<NULL>
Nicky-17,told-18,truth-20:recipient
Ginger-11,killed-15,<NULL>
Ace-9,killed-15,<NULL>
Nicky-14,killed-15,<NULL>
Marino-1,narrates-2,<NULL>
Marino-7,puts-8,himself-9:recipient
Marino-7,puts-8,even-5:modifier
Marino-7,puts-8,danger-11:is_participant_in
Marino-7,puts-8,well-13:modifier
Marino-2,lies-3,So-1:dependent
Nicky-4,become-10,<NULL>
crew-8,become-10,<NULL>
Nicky-1,start-2,<NULL>
Nicky-1,is-2,<NULL>
Ace-6,tell-12,Nicky-13:recipient
Ace-6,go-8,will-7:modal_verb
Ace-6,go-8,Gaggi-10:attachment
Nicky-12,tells-13,Frankie-14:recipient
Nicky-3,made-6,up-7:verb_complement
Nicky-3,made-6,not-5:negative
Nicky-3,made-6,mind-10:recipient
Nicky-3,made-6,Even-1:modifier
mind-25,comes-26,that-28:attachment
<NULL>,killed-22,Ace-21:modifier
Ace-4,calls-5,night-2:time
Ace-4,calls-5,home-8:recipient
Ace-4,calls-5,casino-11:raw_material
Nicky-2,gets-3,home-4:recipient
Nicky-2,gets-3,When-1:modifier
Ginger-18,tied-12,bedposts-15:attachment
Nicky-6,finds-7,Amy-11:recipient
Nicky-1,goes-12,quickly-11:modifier
Nicky-1,goes-12,there-13:modifier
Nicky-1,finds-2,restaurant-9:site
<NULL>,go-2,ever-1:modifier
<NULL>,go-2,home-3:recipient
Ginger-11,asks-12,Nicky-13:recipient
<NULL>,argue-2,back-5:is_participant_in
<NULL>,been-8,<NULL>
<NULL>,'s-7,<NULL>
<NULL>,says-2,friend-11:dependent
<NULL>,says-2,Nicky-1:modifier
Nicky-1,is-2,<NULL>
bosses-7,going-9,<NULL>
Nicky-25,thrown-22,literally-21:modifier
Nicky-25,thrown-22,out-23:verb_complement
Frankie-27,thrown-22,literally-21:modifier
Frankie-27,thrown-22,out-23:verb_complement
Ginger-7,attacks-8,fit-3:is_participant_in
Ginger-7,attacks-8,Nicky-9:recipient
Sherbert-6,come-8,over-9:verb_complement
Sherbert-6,come-8,house-13:attachment
Ace-1,asks-5,Sherbert-6:recipient
Ace-1,calls-2,Billy_Sherbert-3:recipient
<NULL>,fearing-19,life-23:destination
house-9,smashing-13,<NULL>
Ginger-5,arrives-6,morning-3:time
house-9,smashing-13,<NULL>
house-9,screaming-11,car-16:recipient
house-9,screaming-11,hysterically-10:modifier
police-16,arrive-17,<NULL>
Ginger-1,causes-10,scene-13:recipient
Ginger-1,threatens-2,<NULL>
police-2,ask-3,<NULL>
Ginger-24,calms-25,Ginger-22:time
Ginger-24,calms-25,down-26:verb_complement
Ginger-24,calms-25,when-23:modifier
police-19,let-21,Ginger-22:recipient
police-19,let-21,will-20:modal_verb
<NULL>,let-8,Ginger-5:recipient
<NULL>,let-8,can-6:modal_verb
<NULL>,let-8,house-11:modified_to
Ace-17,says-18,<NULL>
<NULL>,escorts-5,Ginger-6:recipient
<NULL>,escorts-5,inside-7:modifier
Ginger-1,breaks-2,desk-6:modified_to
Ginger-1,steals-8,key-15:recipient
Ginger-1,takes-7,<NULL>
Ginger-1,drives-2,bank-5:attachment
<NULL>,abetting-15,officers-19:means
<NULL>,abetting-15,officers-19:means
<NULL>,watching-20,officers-21:recipient
<NULL>,pulled-8,over-9:verb_complement
<NULL>,pulled-8,Ginger-1:recipient
<NULL>,watching-20,officers-21:recipient
<NULL>,abetting-15,officers-19:means
<NULL>,watching-20,officers-21:recipient
<NULL>,aiding-13,<NULL>
<NULL>,abetting-15,officers-19:means
<NULL>,watching-20,officers-21:recipient
<NULL>,arrested-11,Ginger-1:recipient
Ginger-1,drives-2,off-3:verb_complement
Ginger-1,drives-2,only-5:modifier
feds-9,have-10,need-12:recipient
officers-16,have-17,officers-19:recipient
<NULL>,need-20,<NULL>
Ginger-3,talk-6,not-5:negative
Ginger-3,talk-6,Even-1:modifier
FBI-8,executes-9,warrants-11:recipient
Nicky-2,skipped-4,town-5:recipient
<NULL>,going-8,<NULL>
feds-2,seize-3,start-7:recipient
feds-2,seize-3,casino-5:recipient
Philip_Green-1,cooperate-11,<NULL>
Philip_Green-1,admits-2,<NULL>
Philip_Green-1,is-8,<NULL>
Philip_Green-1,cooperate-11,<NULL>
<NULL>,extorted-6,Green-3:recipient
<NULL>,going-2,<NULL>
feds-9,find-10,books-14:recipient
Piscano-1,becomes-2,upset-4:object
<NULL>,does-14,<NULL>
Dominick-1,show-3,even-2:modifier
Ace-13,want-16,not-15:negative
Dominick-11,decide-12,anyone-15:attachment
<NULL>,skimming-7,casino-9:recipient
Dominick-11,decide-12,anyone-15:attachment
<NULL>,indicted-5,Outfit-3:recipient
anyone-15,incriminate-18,can-17:modal_verb
anyone-15,incriminate-18,Dominick-19:recipient
Nicky-20,was-21,<NULL>
Stone-8,talk-10,may-9:modal_verb
motive-17,is-18,<NULL>
Dominick-1,kill-3,Andy_Stone-4:recipient
Dominick-1,kill-3,reluctantly-2:modifier
<NULL>,hiding-6,Also-12:modifier
<NULL>,hiding-6,feds-9:performer
<NULL>,killed-4,also-3:modifier
<NULL>,killed-4,John_Nance-1:recipient
murders-9,pile-10,up-11:verb_complement
list-2,expands-5,greatly-6:modifier
Sam-5,found-6,out-7:verb_complement
Ginger-2,left-3,<NULL>
'd-9,hooked-10,up-11:verb_complement
<NULL>,given-36,may-33:modal_verb
<NULL>,given-36,Ginger-32:recipient
<NULL>,given-36,dose-39:recipient
amp-29,finds-30,out-31:verb_complement
Ace-18,has-19,friend-21:recipient
<NULL>,found-4,later-2:modifier
<NULL>,found-4,dead-5:verb_complement
<NULL>,found-4,overdose-9:compared_to
<NULL>,found-4,Ginger-1:recipient
<NULL>,depicted-11,scene-15:is_participant_in
bomb-9,killed-5,Ace-1:modifier
bomb-9,killed-5,himself-2:recipient
bomb-9,killed-5,nearly-4:modifier
<NULL>,involved-18,seat-27:prep_under
<NULL>,involved-18,somehow-17:modifier
<NULL>,involved-18,Nicky-15:recipient
Ace-12,believes-13,<NULL>
bosses-10,orchestrated-7,bomb-5:recipient
<NULL>,involved-18,seat-27:prep_under
<NULL>,involved-18,somehow-17:modifier
<NULL>,involved-18,Nicky-15:recipient
Ace-12,believes-13,<NULL>
media-3,believes-4,<NULL>
bosses-15,had-17,<NULL>
<NULL>,question-9,Nicky-10:recipient
Ace-3,gets-5,However-1:modifier
Ace-3,gets-5,never-4:negative
Ace-3,gets-5,chance-7:recipient
combination-2,are-34,<NULL>
<NULL>,barred-5,casinos-8:compared_to
<NULL>,sleeping-24,Nicky-23:modifier
<NULL>,handle-42,<NULL>
<NULL>,brought-14,murders-18:compared_to
bosses-1,have-2,crew-5:recipient
bosses-13,posted-14,<NULL>
Frankie-7,had-9,<NULL>
<NULL>,saying-6,<NULL>
Frankie-1,leads-2,beating-4:recipient
bosses-11,strip-12,Dominick-13:recipient
bosses-11,strip-12,then-10:modifier
bosses-11,throw-15,grave-20:modified_to
bosses-11,throw-15,Dominick-16:recipient
bosses-1,beat-2,Dominick-3:recipient
Dominick-5,knocked-7,out-8:verb_complement
bosses-1,proceed-3,then-2:modifier
Ace-1,narrates-2,<NULL>
bosses-8,breathing-11,still-10:modifier
bosses-4,buried-5,bosses-6:recipient
Ace-1,states-2,<NULL>
Vegas-12,has-15,longer-14:modifier
Vegas-12,has-15,feeling-18:recipient
Vegas-12,has-15,more-22:modifier
<NULL>,demolished-8,Tangiers-5:recipient
<NULL>,demolished-7,<NULL>
bonds-23,paid-24,ones-28:destination
<NULL>,being-9,<NULL>
bonds-23,paid-24,ones-28:destination
<NULL>,do-15,<NULL>
bonds-23,paid-24,ones-28:destination
Ace-1,laments-2,<NULL>
bonds-23,paid-24,ones-28:destination
<NULL>,gamble-13,business-16:recipient
bonds-23,paid-24,ones-28:destination
tradition-6,vanished-17,almost-18:modifier
tradition-6,vanished-17,overnight-19:modifier
Ace-3,return-8,job-12:attachment
Ace-3,is-4,<NULL>
