Andy_Davis_John_Morris-29,getting-31,party-36:site
himself-7,save-9,Woody-10:recipient
Buzz-1,attacks-2,dog-4:recipient
Woody-1,attempts-2,<NULL>
Woody-5,kick-14,Woody-15:recipient
Woody-5,kick-14,back-18:away_from_location
<NULL>,moving-21,<NULL>
toys-3,think-4,<NULL>
Woody-5,kick-14,Woody-15:recipient
Woody-5,kick-14,back-18:away_from_location
<NULL>,moving-21,<NULL>
Woody-5,trying-7,<NULL>
they-18,help-23,<NULL>
they-18,help-23,<NULL>
they-24,back-26,both-25:dependent
they-18,try-21,<NULL>
they-16,realize-17,However-1:modifier
they-24,back-26,both-25:dependent
they-18,help-23,<NULL>
they-24,back-26,both-25:dependent
they-18,try-21,<NULL>
they-18,mistake-19,<NULL>
they-18,try-21,<NULL>
they-4,see-5,when-3:modifier
Woody-18,rescue-20,can-19:modal_verb
Woody-18,rescue-20,they-21:recipient
Woody-16,realizes-17,<NULL>
<NULL>,stranded-14,they-11:recipient
<NULL>,stranded-14,left-13:modifier
<NULL>,igniting-23,rocket-26:recipient
batteries-6,run-7,out-8:verb_complement
they-18,soar-19,upwards-20:recipient
Woody-1,manages-3,even-2:modifier
<NULL>,tossing-8,Woody-9:recipient
<NULL>,tossing-8,back-12:modified_to
<NULL>,moving-15,<NULL>
<NULL>,land-15,safely-16:modifier
Buzz-1,frees-2,himself-3:recipient
Buzz-1,frees-2,explodes-9:is_before_location
toys-25,getting-28,what-23:recipient
<NULL>,find-21,out-22:verb_complement
toys-11,prepare-16,mission-19:recipient
film-39,ends-40,<NULL>
toy-6,be-8,<NULL>
friends-13,hear-14,downstairs-17:recipient
cry-23,exchange-33,look-36:recipient
Woody-2,asks-4,jokingly-3:modifier
