Travis_Bickle-1,goes-2,depot-7:attachment
owner-34,proceeds-43,man-49:recipient
owner-34,proceeds-43,club-45:attachment
owner-34,proceeds-43,then-42:modifier
owner-34,encourages-35,warmup-4:is_participant_in
owner-34,encourages-35,Travis-36:recipient
Travis-6,walks-8,randomly-7:modifier
Travis-6,walks-8,robbery-11:modified_to
<NULL>,sent-15,Travis-5:recipient
<NULL>,sent-15,Sport-17:attachment
Travis-5,asks-6,later-3:modifier
conversation-3,sends-7,room-13:attachment
conversation-3,sends-7,Sport-6:modifier
conversation-3,sends-7,up-9:verb_complement
conversation-3,sends-7,Travis-8:recipient
conversation-3,ensues-4,<NULL>
Travis-6,have-9,sex-10:recipient
Travis-6,have-9,not-8:negative
Travis-6,have-9,Once-1:modifier
Travis-6,tries-15,instead-14:modifier
<NULL>,going-44,school-46:attachment
<NULL>,dating-40,boys-42:recipient
<NULL>,going-44,school-46:attachment
<NULL>,obsessed-19,<NULL>
<NULL>,is-36,<NULL>
<NULL>,going-44,school-46:attachment
<NULL>,dating-40,boys-42:recipient
<NULL>,going-44,school-46:attachment
<NULL>,saving-21,childwoman-24:recipient
<NULL>,going-44,school-46:attachment
<NULL>,dating-40,boys-42:recipient
<NULL>,going-44,school-46:attachment
Travis-5,meet-8,day-3:time
Iris-7,meet-8,day-3:time
<NULL>,going-44,school-46:attachment
<NULL>,dating-40,boys-42:recipient
<NULL>,going-44,school-46:attachment
breakfast-10,becomes-18,<NULL>
<NULL>,going-44,school-46:attachment
<NULL>,dating-40,boys-42:recipient
<NULL>,going-44,school-46:attachment
childwoman-24,thinks-26,<NULL>
Sport-8,seduces-9,then-7:modifier
Sport-8,convinces-11,Iris-12:recipient
Iris-1,considers-2,offer-5:recipient
Travis-17,spies-18,window-21:modified_to
Marine-15,intend-18,not-17:negative
Travis-1,stating-13,<NULL>
Travis-1,writes-2,Iris-6:attachment
Travis-1,writes-2,note-4:recipient
<NULL>,obliterated-14,doubt-3:recipient
<NULL>,lingering-2,<NULL>
viewer-16,is-17,suddenly-18:modifier
viewer-16,is-17,when-15:modifier
<NULL>,shown-21,shockingly-20:modifier
<NULL>,shown-21,doubt-3:recipient
flees-19,spotted-14,viewer-1:recipient
men-17,spotted-14,viewer-1:recipient
viewer-1,creeps-2,<NULL>
flees-19,spotted-14,viewer-1:recipient
men-17,spotted-14,viewer-1:recipient
viewer-1,prepares-7,<NULL>
<NULL>,collect-8,guns-12:recipient
returns-2,drives-15,then-14:modifier
returns-2,drives-15,Alphabet_City-17:attachment
Marine-1,confronts-7,Marine-8:recipient
Marine-1,walks-2,Sport-5:attachment
Marine-1,walks-2,up-3:verb_complement
Travis-10,shoots-16,Sport-17:recipient
Travis-10,shoots-16,Sport-17:recipient
Travis-10,says-11,suck-12:recipient
Sport-2,flicks-3,cigarette-6:recipient
Sport-2,flicks-3,When-1:modifier
Sport-2,flicks-3,Marine-8:site
Travis-15,unloads-16,Sport-22:modified_to
Sport-1,followed-5,Travis-6:recipient
Travis-15,unloads-16,Sport-22:modified_to
Sport-1,grazes-8,neck-10:recipient
Travis-1,shoots-3,bouncer-6:recipient
Travis-1,shoots-3,again-2:modifier
bouncer-6,follows-8,Marine-9:recipient
Marine-13,face-15,off-16:verb_complement
Travis-11,shoots-12,<NULL>
customer-4,shoots-5,Travis-6:recipient
Travis-4,kills-14,bouncer-16:recipient
Travis-4,kills-14,finally-13:modifier
Travis-4,kills-14,bouncer-16:recipient
Travis-4,kills-14,finally-13:modifier
Travis-6,stabs-7,Marine-8:recipient
Travis-4,stabs-7,Marine-8:recipient
bouncer-2,tackles-3,<NULL>
bouncer-1,tries-4,then-2:modifier
bouncer-1,tries-4,calmly-3:modifier
bouncer-1,tries-4,repeatedly-5:modifier
police-36,arrive-37,<NULL>
weapons-22,are-23,<NULL>
bouncer-26,resigns-27,himself-28:recipient
Travis-7,mimes-8,<NULL>
<NULL>,shooting-9,himself-10:recipient
<NULL>,shooting-9,head-13:is_participant_in
Travis-7,thinks-17,then-15:modifier
Travis-7,thinks-17,blissfully-16:modifier
they-2,do-3,When-1:modifier
<NULL>,recuperating-6,incident-9:performer
epilogue-3,shows-4,Travis-5:recipient
media-21,hails-22,Travis-23:recipient
<NULL>,saving-28,well-31:modifier
<NULL>,saving-28,Iris-29:recipient
<NULL>,saving-15,daughter-17:recipient
<NULL>,saving-15,they-16:recipient
Travis-1,received-3,letter-6:recipient
letter-6,thank-12,Travis-13:recipient
Travis-1,returns-3,blithely-2:modifier
Travis-1,returns-3,job-7:attachment
Travis-1,seems-10,suddenly-9:modifier
one-3,be-9,Betsy-10:recipient
one-3,happens-7,<NULL>
comments-2,own-12,fame-14:recipient
Travis-17,denies-18,<NULL>
<NULL>,being-19,<NULL>
<NULL>,charging-6,Betsy-7:recipient
Marine-1,drops-2,off-4:verb_complement
Marine-1,drops-2,Betsy-3:recipient
irrationality-32,break-36,through-37:verb_complement
irrationality-32,break-36,again-38:modifier
<NULL>,is-33,<NULL>
Marine-7,adjusts-17,<NULL>
Marine-7,gets-8,look-11:recipient
Marine-2,driving-4,off-5:verb_complement
view-23,mirror-24,<NULL>
