movie-3,is-6,melodrama-8:recipient
Razieh-18,falls-19,<NULL>
Razieh-2,comes-3,back-4:verb_complement
Razieh-2,comes-3,When-1:modifier
stairs-22,causes-25,miscarriage-27:recipient
stairs-22,causes-25,seemingly-24:modifier
Razieh-18,falls-19,<NULL>
Nader-6,brawls-7,<NULL>
<NULL>,accused-3,Nader-1:recipient
<NULL>,killing-5,intentionally-9:modifier
<NULL>,killing-5,baby-8:recipient
Nader-8,knew-9,<NULL>
Nader-4,pushed-5,Razieh-6:recipient
Razieh-1,claims-2,<NULL>
Nader-13,denies-14,challenge-15:recipient
Razieh-10,was-11,<NULL>
<NULL>,has-23,debts-25:recipient
Hodjat-9,insults-33,Nader-34:recipient
Hodjat-9,insults-33,harshly-35:modifier
Hodjat-9,have-19,job-21:recipient
Hodjat-9,have-19,not-18:negative
Hodjat-9,is-12,man-15:recipient
Hodjat-9,fights-27,court-3:is_participant_in
Hodjat-9,fights-27,times-29:recipient
Nader-14,heard-15,story-17:recipient
Termeh-10,is-11,<NULL>
father-6,lying-8,<NULL>
Razieh-23,talking-25,story-27:location_of
Razieh-23,talking-25,when-22:modifier
Termeh-1,knows-2,<NULL>
Termeh-1,is-2,<NULL>
Nader-4,agree-7,<NULL>
Simin-6,agree-7,<NULL>
Nader-12,being-9,<NULL>
Nader-12,was-13,<NULL>
Nader-3,insists-4,However-1:modifier
Nader-4,asks-5,Razieh-6:recipient
Nader-4,asks-5,why-3:modifier
<NULL>,is-2,<NULL>
Nader-10,is-11,<NULL>
baby-35,had-36,before-39:modifier
baby-35,had-36,day-38:time
Razieh-10,refuses-11,<NULL>
abortion-23,was-27,<NULL>
Razieh-17,is-18,<NULL>
Hodjat-2,wants-4,really-3:modifier
<NULL>,save-24,father-25:recipient
Razieh-17,rushed-18,when-16:modifier
Razieh-29,experienced-30,pain-31:recipient
Razieh-29,experienced-30,night-33:time
car-5,hit-6,Razieh-7:recipient
car-5,hit-6,day-9:time
father-12,left-13,house-15:recipient
Razieh-1,reveals-2,<NULL>
Razieh-18,is-19,<NULL>
Razieh-7,want-10,not-9:negative
Razieh-18,is-24,<NULL>
<NULL>,saying-14,<NULL>
Termeh-9,choose-10,destiny-12:recipient
Nader-3,agree-6,Finally-1:modifier
Simin-5,agree-6,Finally-1:modifier
Termeh-16,prefers-17,<NULL>
<NULL>,guess-27,<NULL>
film-20,is-21,up-22:modifier
ending-12,is-16,<NULL>
Termeh-29,wants-30,<NULL>
us-23,understand-25,addition-2:is_participant_in
us-23,understand-25,more-27:modifier
us-23,understand-25,can-24:modal_verb
children-29,monitor-30,behavior-34:dependent
children-29,monitor-30,how-28:modifier
Termeh-5,asks-6,when-4:modifier
Termeh-5,asks-6,father-9:recipient
father-14,told-15,court-21:attachment
father-14,told-15,lie-18:recipient
father-7,holds-8,hand-11:recipient
father-7,holds-8,strongly-12:modifier
father-7,holds-8,when-4:modifier
<NULL>,look-28,can-27:modal_verb
<NULL>,look-28,addition-2:is_participant_in
daughterinlaw-37,did-38,past-41:is_participant_in
father-16,knows-17,Simin-18:recipient
Nader-1,deserves-8,really-7:modifier
Separation-6,deserves-8,really-7:modifier
Simin-3,deserves-8,really-7:modifier
<NULL>,made-20,ever-19:modifier
Nader-1,is-7,example-10:recipient
film-13,help-16,can-15:modal_verb
film-13,help-16,people-17:recipient
