Jackson-1,arrives-17,D-29:site
SHIELD-20,plans-21,<NULL>
<NULL>,brought-5,together-6:modifier
<NULL>,brought-5,now-4:modifier
Rogers-36,made-34,<NULL>
<NULL>,develop-29,weapons-30:recipient
SHIELD-20,harness-23,power-27:recipient
SHIELD-20,plans-21,<NULL>
<NULL>,approach-14,Loki-15:recipient
<NULL>,approach-14,how-12:modifier
<NULL>,approach-14,revelation-18:recipient
<NULL>,see-26,may-25:modal_verb
<NULL>,see-26,Earth-27:recipient
events-5,made-12,aware-14:recipient
<NULL>,see-26,may-25:modal_verb
<NULL>,see-26,Earth-27:recipient
Fury-1,admits-2,<NULL>
what-8,happened-9,Jane_Foster-11:attachment
<NULL>,seen-3,Thor-1:recipient
Coulson-1,tells-2,<NULL>
<NULL>,placed-2,Foster-3:recipient
Foster-6,'s-7,zone-11:is_participant_in
program-3,'s-7,zone-11:is_participant_in
<NULL>,made-4,decision-2:recipient
group-3,argues-4,<NULL>
agents-11,attack-12,helicarrier-14:recipient
<NULL>,possessed-10,Loki-8:recipient
<NULL>,possessed-10,Clint_Barton-6:recipient
<NULL>,disabling-16,<NULL>
Romanoff-12,prevent-15,Dr-16:recipient
Romanoff-12,tries-13,<NULL>
<NULL>,damaged-9,<NULL>
Romanoff-12,prevent-15,Dr-16:recipient
Romanoff-12,tries-13,<NULL>
Stark-2,attempt-5,<NULL>
Rogers-4,attempt-5,<NULL>
<NULL>,destroying-8,ship-10:recipient
<NULL>,destroying-8,inside-12:performer
<NULL>,turning-3,Hulk-6:modified_to
<NULL>,pacify-18,beast-20:recipient
Thor-12,takes-13,up-14:verb_complement
Thor-12,takes-13,battle-16:recipient
Her-5,'s-6,<NULL>
Thor-12,manages-22,<NULL>
attempt-2,fails-3,<NULL>
blow-15,breaks-19,control-23:recipient
Romanoff-5,slams-6,rail-11:modified_to
Romanoff-5,slams-6,Renner-7:recipient
blow-15,breaks-19,control-23:recipient
<NULL>,fighting-2,Barton-3:recipient
himself-19,allows-32,Thor-33:recipient
himself-19,releases-28,cell-30:recipient
Thor-9,is-10,<NULL>
<NULL>,holding-15,<NULL>
Hulk-3,falls-4,ship-7:raw_material
himself-19,recovered-23,scepter-26:recipient
Loki-30,stabbed-23,Coulson-21:recipient
Loki-30,stabbed-23,back-26:is_participant_in
<NULL>,harnesses-15,power-17:recipient
Coulson-1,shoots-3,later-2:modifier
Coulson-1,shoots-3,Loki-4:recipient
Coulson-1,shoots-3,weapon-11:raw_material
Fury-4,tries-5,<NULL>
Coulson-1,dies-2,<NULL>
cell-10,hits-11,ground-13:recipient
Thor-1,escapes-2,cell-5:raw_material
<NULL>,abandoned-13,<NULL>
Banner-1,wakes-2,up-3:verb_complement
Banner-1,wakes-2,form-8:is_participant_in
Fury-1,uses-2,death-6:recipient
Stark-1,realize-4,<NULL>
Rogers-3,realize-4,<NULL>
Avengers-8,be-11,<NULL>
<NULL>,needs-1,<NULL>
<NULL>,built-4,Dr-6:time_between
<NULL>,summoning-15,invasion-18:recipient
Loki-3,opens-4,world-11:recipient
<NULL>,missing-21,now-20:modifier
<NULL>,communicate-12,especially-17:modifier
differences-7,overshadow-8,ability-10:recipient
differences-7,overshadow-8,again-2:modifier
Loki-22,set-25,obviously-24:modifier
Loki-22,set-25,shop-27:recipient
Loki-22,set-25,up-26:verb_complement
Tony-8,figures-10,finally-9:modifier
Tony-8,figures-10,out-11:verb_complement
Loki-13,is-14,diva-18:recipient
Natasha-1,arrives-4,unfortunately-3:modifier
Selvig-1,opened-3,portal-5:recipient
<NULL>,unleashes-2,army-5:recipient
hell-8,breaks-9,loose-10:object
<NULL>,fight-10,much-14:modifier
<NULL>,fight-10,not-8:negative
<NULL>,fight-10,ca-7:modal_verb
<NULL>,fight-10,off-12:verb_complement
army-2,is-3,<NULL>
<NULL>,entering-18,atmosphere-22:recipient
Tony_Stark-1,shows-3,thankfully-2:modifier
Tony_Stark-1,shows-3,up-4:verb_complement
<NULL>,does-7,Bruce_Banner-8:recipient
dispatches-5,NYPD-6,tunnels-14:modified_to
dispatches-5,NYPD-6,cops-7:recipient
dispatches-5,NYPD-6,citizens-10:attachment
<NULL>,fighting-2,<NULL>
<NULL>,Jr-14,where-13:modifier
Tony-8,arrives-9,Tower-12:site
Hulk-4,smashes-5,Meanwhile-1:modifier
drink-7,intimidate-14,<NULL>
<NULL>,attempts-1,<NULL>
drink-7,intimidate-14,<NULL>
<NULL>,used-10,drink-7:recipient
<NULL>,called-18,MK18-19:recipient
Tony-7,has-8,<NULL>
Tony-7,has-32,capabilities-35:recipient
<NULL>,advanced-33,<NULL>
<NULL>,contained-22,box-26:is_participant_in
<NULL>,contained-22,MK18-19:recipient
<NULL>,coded-27,specifically-28:modifier
<NULL>,coded-27,Tony-30:with_respect_to
JARVIS-9,prepare-10,version-14:recipient
<NULL>,going-4,on-5:verb_complement
citizens-15,get-20,not-19:negative
citizens-22,need-23,<NULL>
destruction-8,continue-10,will-9:modal_verb
destruction-8,continue-10,long-12:modifier
Loki-28,ruled-26,citizens-22:recipient
<NULL>,saying-6,<NULL>
<NULL>,do-18,<NULL>
Loki-1,refuses-2,<NULL>
control-24,fails-25,thanks-26:recipient
control-24,fails-25,Reactor-33:attachment
<NULL>,control-18,mind-21:recipient
control-24,fails-25,thanks-26:recipient
control-24,fails-25,Reactor-33:attachment
<NULL>,using-9,scepter-12:recipient
control-24,fails-25,thanks-26:recipient
control-24,fails-25,Reactor-33:attachment
Loki-1,attempts-2,<NULL>
Reactor-33,keeps-35,Jr-36:recipient
<NULL>,overwhelmed-19,citizens-16:recipient
<NULL>,overwhelmed-19,will-17:modal_verb
Avengers-2,come-11,quickly-10:modifier
Avengers-2,come-11,conclusion-14:attachment
Avengers-2,rally-3,defense-5:is_participant_in
Thor-10,evacuate-11,civilians-12:recipient
Rogers-8,evacuate-11,civilians-12:recipient
Banner-1,goes-7,<NULL>
Banner-1,transforms-2,Hulk-5:modified_to
device-16,hits-23,Dr-24:recipient
device-16,hits-23,Dr-24:recipient
device-16,holds-18,<NULL>
Romanoff-1,makes-2,with-6:dependent
Romanoff-1,makes-2,way-4:recipient
Romanoff-1,makes-2,device-16:attachment
<NULL>,used-9,staff-6:recipient
<NULL>,used-9,can-7:modal_verb
Selvig-1,reveals-2,<NULL>
<NULL>,happening-4,<NULL>
Loki-8,refuses-11,<NULL>
Hulk-6,confronts-7,Loki-8:recipient
Hulk-5,smashes-6,Loki-7:recipient
Hulk-5,smashes-6,oblivion-10:modified_to
Rogers-2,instructed-3,<NULL>
<NULL>,shut-14,down-15:verb_complement
<NULL>,shut-14,portal-17:recipient
<NULL>,allows-2,Romanoff-3:recipient
Stark-8,securing-10,perimeter-12:recipient
Romanoff-2,securing-4,portal-6:recipient
<NULL>,launch-20,Manhattan-25:site
<NULL>,launch-20,missile-23:recipient
Fury-13,berates-14,Meanwhile-1:modifier
Fury-13,berates-14,decision-18:recipient
jets-16,taking-19,off-20:verb_complement
jets-16,taking-19,helicarrier-23:performer
<NULL>,destroying-14,jets-16:recipient
<NULL>,are-18,<NULL>
Fury-1,tries-2,<NULL>
jets-16,taking-19,off-20:verb_complement
jets-16,taking-19,helicarrier-23:performer
<NULL>,destroying-14,jets-16:recipient
<NULL>,are-18,<NULL>
everything-3,stop-6,council-8:recipient
jets-16,taking-19,off-20:verb_complement
jets-16,taking-19,helicarrier-23:performer
<NULL>,destroying-14,jets-16:recipient
<NULL>,are-18,<NULL>
<NULL>,launching-10,nukes-11:recipient
Rogers-3,fire-7,<NULL>
<NULL>,'s-4,<NULL>
<NULL>,gets-13,away-14:verb_complement
<NULL>,launches-16,weapon-19:recipient
Tony-1,intercepts-2,missile-4:recipient
Tony-1,intercepts-2,Jr-6:recipient
<NULL>,knows-1,<NULL>
<NULL>,flies-1,portal-5:modified_to
<NULL>,flies-1,missile-2:recipient
instructs-7,JARVIS-8,<NULL>
Pepper-6,is-7,on-8:dependent
<NULL>,glued-12,TV-15:attachment
call-3,fails-4,Unfortunately-1:modifier
<NULL>,destroying-11,invasion-13:recipient
<NULL>,destroying-11,completely-10:modifier
Tony-1,launches-2,nuke-4:recipient
Tony-1,launches-2,mothership-8:site
<NULL>,are-7,<NULL>
<NULL>,rendered-8,aliens-4:recipient
aliens-4,collapse-5,<NULL>
Stark-1,sees-2,<NULL>
nuke-4,go-5,just-6:modifier
<NULL>,falls-6,<NULL>
what-8,appears-9,<NULL>
<NULL>,runs-1,oxygen-4:object
<NULL>,be-11,<NULL>
<NULL>,manages-1,<NULL>
Romanoff-8,is-9,<NULL>
Romanoff-8,close-13,successfully-12:modifier
Romanoff-8,close-13,portal-14:recipient
they-22,decide-23,<NULL>
roar-10,awakened-5,<NULL>
Stark-3,offers-12,<NULL>
Avengers-2,go-3,ways-6:recipient
<NULL>,working-9,<NULL>
Romanoff-1,return-7,<NULL>
Hawkeye-6,return-7,<NULL>
Rogers-3,return-7,<NULL>
Romanoff-1,working-33,<NULL>
<NULL>,seen-27,Tony-23:recipient
<NULL>,seen-27,Pepper-25:recipient
<NULL>,seen-27,D.-21:recipient
Tesseract-6,back-7,<NULL>
Loki-3,back-7,<NULL>
who-37,take-39,devastation-43:destination
who-37,take-39,responsibility-40:recipient
who-37,take-39,will-38:modal_verb
others-30,want-34,<NULL>
others-30,know-36,<NULL>
who-37,take-39,devastation-43:destination
who-37,take-39,responsibility-40:recipient
who-37,take-39,will-38:modal_verb
others-30,want-34,<NULL>
others-30,know-36,<NULL>
others-30,are-31,<NULL>
reports-6,recap-7,Meanwhile-1:modifier
who-37,take-39,devastation-43:destination
who-37,take-39,responsibility-40:recipient
who-37,take-39,will-38:modal_verb
others-30,want-34,<NULL>
others-30,know-36,<NULL>
who-37,take-39,devastation-43:destination
who-37,take-39,responsibility-40:recipient
who-37,take-39,will-38:modal_verb
others-30,want-34,<NULL>
others-30,know-36,<NULL>
others-30,are-31,<NULL>
Avengers-16,become-18,New_York-28:is_participant_in
<NULL>,'s-24,<NULL>
group-28,is-29,<NULL>
Avengers-16,grill-18,also-17:modifier
<NULL>,congratulated-13,Fury-10:recipient
what-5,happened-6,<NULL>
New_York-8,is-9,warning-11:recipient
Fury-2,is-3,<NULL>
Avengers-8,try-9,<NULL>
E.-20,_-21,D-24:recipient
warning-2,galaxies-5,<NULL>
<NULL>,is-1,<NULL>
<NULL>,have-3,team-6:recipient
Fury-1,tells-3,also-2:modifier
<NULL>,tracked-11,board-1:recipient
<NULL>,tracked-11,longer-9:modifier
<NULL>,needed-25,when-24:modifier
D.-11,earned-13,leave-15:recipient
<NULL>,called-22,D.-11:recipient
<NULL>,called-22,back-23:modifier
<NULL>,called-22,will-20:modal_verb
Tesseract-8,is-9,<NULL>
He-1,tells-3,also-2:modifier
He-1,tells-3,council-5:recipient
one-12,be-17,<NULL>
<NULL>,tells-11,master-14:recipient
it-16,attack-20,Earth-21:recipient
it-16,is-17,<NULL>
<NULL>,fighting-24,Avengers-26:recipient
<NULL>,courting-29,death-30:recipient
leader-8,is-27,scene-4:is_participant_in
master-3,turns-4,<NULL>
himself-7,be-9,Thanos-10:recipient
team-16,speaks-23,<NULL>
team-16,looks-17,no-21:modifier
team-16,speaks-23,<NULL>
<NULL>,shown-8,Avengers-6:recipient
