Dan_Haywood_Spencer_Tracy-2,arrives-3,Nuremberg-5:is_participant_in
defendants-61,applied-58,Nazism-63:prep_during
defendants-61,applied-58,ways-51:is_participant_in
evidence-3,painted-45,picture-48:recipient
execution-33,painted-45,picture-48:recipient
<NULL>,having-39,relations-40:recipient
evidence-3,painted-45,picture-48:recipient
execution-33,painted-45,picture-48:recipient
orders-21,carried-27,out-28:verb_complement
<NULL>,had-15,<NULL>
judges-14,enforce-19,law-21:recipient
judges-14,been-16,<NULL>
Haywood-4,come-8,not-6:negative
Haywood-4,come-8,grips-10:attachment
Haywood-4,come-8,Still-1:modifier
Haywood-4,come-8,fully-7:modifier
Haywood-4,come-8,can-5:modal_verb
Ernst_Janning-9,feels-10,Not-1:negative
Ernst_Janning-9,feels-10,until-6:dependent
Germany-14,become-16,how-12:modifier
Janning-9,speaks-10,statement-4:is_participant_in
<NULL>,made-5,oath-7:prep_under
people-30,submit-32,could-31:modal_verb
people-30,submit-32,Nazism-34:attachment
people-30,submit-32,how-26:modifier
Janning-5,explained-6,<NULL>
Hitler-10,vowed-12,openly-11:modifier
Hitler-10,vowed-12,which-9:is_participant_in
Hitler-1,promises-3,<NULL>
elimination-14,were-22,first-25:site
elimination-14,were-22,people-31:attachment
<NULL>,failed-37,<NULL>
Janning-1,noted-3,then-2:modifier
<NULL>,stayed-21,unconscionability-20:modifier
<NULL>,stayed-21,predictably-35:dependent
<NULL>,stayed-21,posts-24:site
Hitler-1,explained-2,<NULL>
point-13,sacrificed-16,senses-20:recipient
point-13,sacrificed-16,unconscionability-15:modifier
allegiance-5,motivated-7,point-13:attachment
<NULL>,betrayed-30,Germany-31:recipient
<NULL>,had-26,<NULL>
<NULL>,known-19,better-20:modifier
<NULL>,known-19,should-17:modal_verb
Hitler-11,conceded-12,statement-9:is_participant_in
<NULL>,gone-27,along-28:verb_complement
choice-19,was-26,country-31:attachment
issue-6,becomes-13,<NULL>
Haywood-17,is-18,<NULL>
Haywood-17,pass-21,judgment-22:recipient
Haywood-17,pass-21,judgment-22:recipient
actions-9,took-13,place-14:recipient
actions-9,took-13,times-3:is_participant_in
<NULL>,Understanding-1,times-3:recipient
<NULL>,Understanding-1,context-5:recipient
actions-11,were-12,<NULL>
men-26,were-27,men-28:recipient
none-11,serving-29,term-31:recipient
none-11,serving-29,still-28:modifier
none-11,serving-29,just-32:modifier
<NULL>,condemned-14,sentence-17:attachment
<NULL>,condemned-14,trials-26:dependent
<NULL>,noted-2,moments-6:is_participant_in
none-11,serving-29,term-31:recipient
none-11,serving-29,still-28:modifier
none-11,serving-29,just-32:modifier
<NULL>,condemned-14,sentence-17:attachment
<NULL>,condemned-14,trials-26:dependent
<NULL>,closing-5,<NULL>
Germany-11,opened-13,gradually-12:modifier
Germany-11,opened-13,door-15:recipient
Germany-11,opened-13,release-18:destination
Germany-2,became-3,<NULL>
