structure-24,moves-25,highlands-31:modified_to
woman-10,ignores-11,woman-12:recipient
woman-10,insults-14,shop-16:recipient
woman-10,ignores-11,woman-12:recipient
Sophie-1,tells-2,Sophie-3:recipient
<NULL>,reprimanded-14,Sophie-4:recipient
<NULL>,standing-16,up-17:verb_complement
<NULL>,standing-16,Witch-20:attachment
Sophie-4,asks-7,again-6:modifier
Sophie-4,asks-7,woman-9:recipient
<NULL>,reprimanded-14,Sophie-4:recipient
<NULL>,standing-16,up-17:verb_complement
<NULL>,standing-16,Witch-20:attachment
<NULL>,leave-11,<NULL>
<NULL>,covering-20,Sophie-21:recipient
Witch-7,flows-12,<NULL>
<NULL>,covering-20,Sophie-21:recipient
Witch-7,flies-8,Sophie-10:direction
<NULL>,covering-20,Sophie-21:recipient
Witch-7,flows-12,<NULL>
<NULL>,covering-20,Sophie-21:recipient
Sophie-2,react-4,can-3:modal_verb
Witch-2,asks-9,Sophie-10:recipient
Witch-2,glides-3,back-4:verb_complement
Witch-2,glides-3,door-7:attachment
men-12,carried-8,<NULL>
Witch-1,leaves-2,chair-7:is_participant_in
Witch-1,leaves-2,quickly-3:modifier
<NULL>,aged-15,woman-19:modified_to
<NULL>,horrified-9,Sophie-7:recipient
Sophie-7,discover-11,shes-13:recipient
Sophie-2,looks-4,finally-3:modifier
Sophie-2,looks-4,up-5:verb_complement
Sophie-2,looks-4,When-1:modifier
Sophie-1,struggles-2,<NULL>
<NULL>,locked-17,room-20:is_participant_in
<NULL>,locked-17,ill-23:object
<NULL>,locked-17,Sophie-15:recipient
Mari_Devon-7,arrives-8,shop-11:site
Mari_Devon-7,arrives-8,morning-3:time
<NULL>,hear-13,<NULL>
Devon-1,advises-9,rest-12:attachment
Devon-1,advises-9,Devon-10:recipient
Devon-1,speaks-2,Devon-4:attachment
clothes-22,decides-29,<NULL>
<NULL>,stay-33,shop-36:site
<NULL>,stay-33,not-32:negative
<NULL>,stay-33,ca-31:modal_verb
clothes-22,decides-29,<NULL>
<NULL>,stay-33,shop-36:site
<NULL>,stay-33,not-32:negative
<NULL>,stay-33,ca-31:modal_verb
Sophie-5,tries-9,<NULL>
clothes-22,decides-29,<NULL>
<NULL>,stay-33,shop-36:site
<NULL>,stay-33,not-32:negative
<NULL>,stay-33,ca-31:modal_verb
clothes-22,decides-29,<NULL>
<NULL>,stay-33,shop-36:site
<NULL>,stay-33,not-32:negative
<NULL>,stay-33,ca-31:modal_verb
Sophie-5,gets-6,up-7:verb_complement
clothes-22,decides-29,<NULL>
<NULL>,stay-33,shop-36:site
<NULL>,stay-33,not-32:negative
<NULL>,stay-33,ca-31:modal_verb
clothes-22,decides-29,<NULL>
<NULL>,stay-33,shop-36:site
<NULL>,stay-33,not-32:negative
<NULL>,stay-33,ca-31:modal_verb
Devon-2,leaves-3,When-1:modifier
<NULL>,missing-23,<NULL>
Devon-1,packs-2,things-5:recipient
prince-17,gone-22,<NULL>
Devon-1,leaves-7,town-8:recipient
Sophie-1,heads-9,mountains-12:destination
Sophie-1,hitches-2,ride-4:recipient
Sophie-1,hitches-2,out-5:verb_complement
's-13,notices-16,<NULL>
<NULL>,eat-9,food-11:recipient
Sophie-4,takes-5,rest-7:recipient
<NULL>,protruding-19,bush-24:object
's-13,packed-14,stick-18:recipient
<NULL>,strolling-11,away-12:verb_complement
rest-3,Turniphead-4,reason-8:destination
Sophie-3,Turniphead-1,<NULL>
<NULL>,dealt-17,<NULL>
<NULL>,hopping-5,along-6:verb_complement
Sophie-12,struggles-13,up-14:verb_complement
Sophie-12,struggles-13,hillside-16:recipient
Sophie-12,struggles-13,up-14:verb_complement
Sophie-12,struggles-13,hillside-16:recipient
wind-8,picks-9,up-10:verb_complement
sky-3,grows-4,<NULL>
Turniphead-20,find-22,shelter-23:recipient
Turniphead-20,find-22,where-19:modifier
Turniphead-20,find-22,can-21:modal_verb
Turniphead-1,fetches-2,stick-5:recipient
<NULL>,walking-4,<NULL>
<NULL>,asking-13,<NULL>
Turniphead-9,accepts-11,gratefully-10:modifier
Turniphead-9,accepts-11,stick-5:recipient
Sophie-5,muses-6,herself-8:attachment
Turniphead-1,bounces-2,away-3:verb_complement
shes-11,gotten-12,clever-10:dependent
Turniphead-3,returns-5,However-1:modifier
Turniphead-3,returns-5,behind-17:modifier
Turniphead-3,returns-5,shock-10:attachment
Turniphead-3,returns-5,soon-4:modifier
thing-30,walks-31,<NULL>
Sophie-17,discovers-18,door-21:recipient
<NULL>,hanging-22,rear-25:performer
Sophie-7,thinking-9,<NULL>
thing-30,walks-31,<NULL>
Sophie-17,discovers-18,door-21:recipient
<NULL>,hanging-22,rear-25:performer
Sophie-12,asked-13,when-11:modifier
Sophie-12,asked-13,shelter-15:destination
<NULL>,allowed-8,Sophie-1:recipient
<NULL>,allowed-8,entry-9:recipient
Sophie-1,runs-2,door-5:destination
thanks-2,walks-8,inside-9:modifier
thanks-2,Turniphead-3,assistance-6:destination
<NULL>,set-14,<NULL>
Nothing-1,stirs-2,<NULL>
<NULL>,living-27,<NULL>
<NULL>,living-27,<NULL>
<NULL>,overstuffed-29,<NULL>
<NULL>,commenting-14,<NULL>
<NULL>,overstuffed-29,<NULL>
Sophie-1,sits-2,down-4:verb_complement
Sophie-1,sits-2,herself-3:recipient
Sophie-14,doze-17,off-18:verb_complement
Sophie-14,begins-15,<NULL>
Sophie-7,realizes-8,Still-1:modifier
Sophie-7,realizes-8,age-6:is_participant_in
Sophie-14,doze-17,off-18:verb_complement
Sophie-14,begins-15,<NULL>
scares-10,Sophie-11,anymore-12:modifier
fire-4,conjures-9,Suddenly-1:modifier
fire-4,conjures-9,notes-12:recipient
fire-4,conjures-9,eyes-10:recipient
fire-1,relieve-18,curse-21:recipient
fire-1,offers-16,<NULL>
fire-1,introduces-2,itself-3:recipient
Sophie-23,helps-24,demon-25:recipient
fire-1,relieve-18,curse-21:recipient
fire-1,offers-16,<NULL>
<NULL>,named-9,Tatsuya_Gashin-14:recipient
Sophie-1,denies-2,proposal-5:recipient
Sophie-1,claims-12,<NULL>
master-16,keeps-20,regimen-25:prep_under
master-16,keeps-20,master-21:recipient
Calcifer-18,doubts-19,ability-21:recipient
Calcifer-18,doubts-19,ability-21:recipient
demon-14,watches-15,<NULL>
Calcifer-18,doubts-19,ability-21:recipient
Calcifer-18,doubts-19,ability-21:recipient
demon-14,watches-15,<NULL>
Sophie-4,agrees-7,<NULL>
Calcifer-18,doubts-19,ability-21:recipient
Calcifer-18,doubts-19,ability-21:recipient
demon-14,watches-15,<NULL>
Sophie-4,help-9,though-11:modifier
Sophie-4,help-9,demon-10:recipient
Sophie-4,relents-5,<NULL>
officials-7,approach-8,building-10:recipient
officials-7,approach-8,town-4:is_participant_in
officials-7,approach-8,knock-12:recipient
sound-2,awakens-3,Sophie-4:recipient
boy-16,comes-17,stairs-20:recipient
boy-16,comes-17,down-18:verb_complement
Sophie-4,looks-6,door-9:attachment
Calcifer-10,mentions-11,<NULL>
feigns-2,sleep-3,again-4:modifier
knock-13,came-14,door-18:raw_material
Kamiki-14,answers-21,door-23:recipient
Kamiki-14,appear-15,<NULL>
Kamiki-14,answers-21,door-23:recipient
disguise-11,makes-13,<NULL>
Kamiki-14,answers-21,door-23:recipient
boy-2,dons-8,disguise-11:recipient
door-12,opened-14,area-18:attachment
<NULL>,amazed-7,Sophie-1:recipient
Sophie-1,see-9,<NULL>
Sophie-1,looks-2,<NULL>
<NULL>,summoned-18,Jenkins-15:recipient
officials-2,ask-6,Jenkins-10:with_respect_to
<NULL>,addressing-10,Sophie-11:recipient
Markl-1,accepts-2,notice-4:recipient
Sophie-11,giving-14,wood-17:recipient
Sophie-11,giving-14,Calcifer-15:recipient
<NULL>,addressing-10,Sophie-11:recipient
Markl-1,shuts-6,door-8:recipient
<NULL>,saying-13,Sophie-14:recipient
<NULL>,wandered-16,simply-15:modifier
Sophie-1,tells-2,Markl-3:recipient
<NULL>,saying-13,Sophie-14:recipient
<NULL>,wandered-16,simply-15:modifier
Calcifer-5,allowed-6,inside-8:recipient
knock-11,draws-15,attention-18:recipient
knock-11,draws-15,away-19:modifier
knock-11,draws-15,attention-18:recipient
knock-11,draws-15,away-19:modifier
Markl-1,wonders-2,aloud-3:modifier
customer-8,asks-10,<NULL>
<NULL>,opens-2,door-3:recipient
<NULL>,terrified-1,<NULL>
<NULL>,sent-16,off-17:verb_complement
Sophie-1,responds-2,<NULL>
Sophie-12,points-13,out-14:verb_complement
Sophie-12,points-13,disguise-18:recipient
Sophie-12,points-13,when-11:modifier
Markl-1,tells-2,Sophie-3:recipient
Markl-1,informs-20,Sophie-21:recipient
pair-28,requests-31,assistance-33:recipient
pair-28,requests-31,where-26:modifier
Markl-9,opens-16,door-18:recipient
<NULL>,reveal-20,city-23:recipient
Markl-9,turns-10,knob-12:recipient
Markl-9,turns-10,another-14:prep_beside
pair-28,requests-31,assistance-33:recipient
pair-28,requests-31,where-26:modifier
Markl-9,opens-16,door-18:recipient
<NULL>,reveal-20,city-23:recipient
knock-3,sounds-4,When-1:modifier
color-14,represents-15,location-18:recipient
<NULL>,finding-11,<NULL>
Sophie-3,tries-4,herself-9:destination
Sophie-3,tries-4,out-7:verb_complement
Sophie-3,tries-4,knob-6:recipient
Howl-21,leads-22,where-20:modifier
Howl-18,knows-19,<NULL>
Markl-14,says-15,<NULL>
Sophie-2,asks-3,setting-9:location_of
Sophie-2,asks-3,When-1:modifier
Markl-1,begins-2,<NULL>
Markl-9,explains-10,<NULL>
Markl-7,explains-10,<NULL>
Calcifer-12,obeys-14,Howl-15:recipient
Calcifer-12,obeys-14,only-13:modifier
Sophie-1,offers-2,<NULL>
<NULL>,tell-21,Howl-22:recipient
<NULL>,threatening-11,<NULL>
<NULL>,tell-21,Howl-22:recipient
Sophie-3,manages-4,However-1:modifier
<NULL>,amazed-13,willpower-17:site
Calcifer-1,cook-7,<NULL>
Calcifer-1,agrees-3,reluctantly-2:modifier
Markl-11,fetches-19,tea-24:attachment
Markl-11,fetches-19,kettle-21:recipient
<NULL>,walks-20,in-21:verb_complement
Sophie-15,met-16,day-18:time
Markl-5,addresses-6,Markl-7:recipient
Markl-5,addresses-6,when-4:modifier
<NULL>,startled-3,Sophie-1:recipient
Calcifer-29,hired-27,<NULL>
Markl-5,tries-12,<NULL>
<NULL>,feeding-12,Calcifer-16:attachment
<NULL>,feeding-12,eggshells-14:recipient
<NULL>,feeding-12,Calcifer-16:attachment
<NULL>,feeding-12,eggshells-14:recipient
Howl-1,takes-7,<NULL>
Howl-1,pushes-3,aside-5:verb_complement
Howl-1,pushes-3,Sophie-4:recipient
Howl-1,pushes-3,gently-2:modifier
Howl-9,asks-10,Sophie-11:recipient
<NULL>,sit-4,then-3:modifier
<NULL>,sit-4,down-5:verb_complement
<NULL>,hidden-12,there-13:modifier
Sophie-1,find-8,note-11:recipient
Sophie-1,reaches-2,in-3:verb_complement
note-15,burns-20,inscription-22:recipient
note-15,burns-20,Witch-28:raw_material
note-15,bursts-16,flame-18:modified_to
note-15,burns-20,inscription-22:recipient
note-15,burns-20,Witch-28:raw_material
hands-2,note-3,Howl-5:attachment
message-3,reads-4,<NULL>
<NULL>,feeding-17,breakfast-21:recipient
<NULL>,feeding-17,Calcifer-18:recipient
Howl-1,rubs-2,table-7:away_from_location
Howl-1,rubs-2,message-4:recipient
<NULL>,feeding-17,breakfast-21:recipient
<NULL>,feeding-17,Calcifer-18:recipient
heads-3,leaves-21,<NULL>
heads-3,carried-16,cleaning-18:recipient
heads-3,carried-16,away-17:verb_complement
heads-3,leaves-21,<NULL>
<NULL>,calling-8,Sophie-11:attachment
<NULL>,calling-8,back-9:verb_complement
Sophie-15,denies-17,angrily-16:modifier
Sophie-4,working-6,Witch-9:destination
Sophie-15,promises-36,<NULL>
Sophie-15,denies-17,angrily-16:modifier
Markl-1,questions-2,<NULL>
Sophie-44,sees-45,Sophie-46:recipient
orders-2,Markl-3,<NULL>
orders-2,begins-11,furiously-10:modifier
orders-2,begins-11,cleaning-12:recipient
Markl-1,warns-12,customers-13:recipient
Sophie-1,moves-7,bit-10:recipient
Sophie-1,ignores-2,whining-5:recipient
<NULL>,dangling-29,<NULL>
Markl-24,round-26,half-28:recipient
<NULL>,clinging-20,<NULL>
Calcifer-8,smolders-11,<NULL>
Calcifer-8,smolders-11,<NULL>
Calcifer-8,falls-9,pot-14:is_participant_in
Sophie-2,takes-3,outside-6:modifier
Sophie-2,takes-3,ashes-5:recipient
Calcifer-15,reignite-17,<NULL>
<NULL>,encouraging-14,Calcifer-15:recipient
<NULL>,sees-7,standing-9:recipient
Markl-1,advises-3,calmly-2:modifier
Markl-1,advises-3,Sophie-4:recipient
Sophie-1,tells-7,Markl-8:recipient
Markl-13,want-16,not-15:negative
Markl-13,want-16,whatever-12:recipient
Markl-8,put-10,away-11:verb_complement
<NULL>,thrown-17,out-18:verb_complement
Sophie-1,goes-2,upstairs-3:recipient
Sophie-1,admires-14,view-17:recipient
Sophie-1,walks-2,straighter-11:modifier
Sophie-1,walks-2,balcony-6:prep_onto
Sophie-1,walks-2,out-3:verb_complement
<NULL>,complimenting-7,Markl-8:recipient
Sophie-1,calls-2,down-3:verb_complement
Sophie-1,calls-2,Calcifer-5:attachment
Markl-8,pleases-14,Markl-15:recipient
Markl-8,pleases-14,greatly-16:modifier
<NULL>,sticking-10,<NULL>
pole-9,recesses-17,<NULL>
Markl-1,joins-2,outside-4:recipient
Markl-1,joins-2,notices-6:recipient
Markl-1,bounces-7,<NULL>
Markl-1,regains-2,stance-5:recipient
kind-21,cleans-25,<NULL>
Sophie-14,responds-15,witch-11:recipient
Markl-1,asks-2,Sophie-3:recipient
Sophie-17,string-18,out-19:verb_complement
Sophie-17,string-18,laundry-21:recipient
Markl-13,help-16,<NULL>
Turniphead-15,help-16,<NULL>
Calcifer-3,sets-4,castle-6:recipient
Calcifer-3,sets-4,lake-11:means
Calcifer-3,sets-4,Later-1:modifier
Calcifer-3,sets-4,down-7:verb_complement
Markl-25,led-26,here-28:modifier
Markl-25,led-26,Sophie-27:recipient
Sophie-9,says-10,<NULL>
Markl-1,suggests-2,<NULL>
Turniphead-14,felt-17,never-16:negative
Turniphead-14,felt-17,peace-20:site
Turniphead-1,sighs-10,Markl-12:attachment
Turniphead-1,sits-2,side-5:means
<NULL>,watching-14,<NULL>
Howl-3,flies-4,form-8:is_participant_in
Howl-3,flies-4,Meanwhile-1:modifier
<NULL>,shut-26,Markl-28:support
Markl-11,escapes-16,<NULL>
Markl-11,eludes-13,swiftly-12:modifier
Markl-11,eludes-13,them-14:recipient
number-2,fly-7,Markl-9:direction
Howl-10,walks-11,through-12:verb_complement
door-7,opens-8,Back-1:modifier
drooping-17,scorched-22,<NULL>
feathers-21,scorched-22,<NULL>
Markl-1,transforms-17,self-23:modified_to
Markl-1,transforms-17,back-18:verb_complement
Markl-1,sits-2,chair-5:is_participant_in
Markl-1,sits-2,with-14:dependent
Sophie-27,left-28,Markl-30:destination
chair-12,shows-22,Howl-23:recipient
chair-12,shows-22,cheerfully-21:modifier
chair-12,become-17,again-19:modifier
Sophie-27,left-28,Markl-30:destination
chair-12,shows-22,Howl-23:recipient
chair-12,shows-22,cheerfully-21:modifier
Calcifer-1,warns-2,Markl-3:recipient
Sophie-27,left-28,Markl-30:destination
chair-12,shows-22,Howl-23:recipient
chair-12,shows-22,cheerfully-21:modifier
chair-12,become-17,again-19:modifier
Sophie-27,left-28,Markl-30:destination
chair-12,shows-22,Howl-23:recipient
chair-12,shows-22,cheerfully-21:modifier
Markl-7,continues-8,<NULL>
wizards-25,remember-28,not-27:negative
wizards-25,remember-28,ca-26:modal_verb
wizards-25,remember-28,where-24:modifier
<NULL>,recruited-14,wizards-11:recipient
Howl-1,admits-2,<NULL>
<NULL>,drawn-16,side-19:attachment
Markl-1,asks-2,Calcifer-3:recipient
<NULL>,going-19,<NULL>
Markl-1,considers-14,moment-17:recipient
<NULL>,going-19,<NULL>
Markl-1,pulls-2,water-3:recipient
sound-2,awakens-7,Sophie-8:recipient
Markl-6,walk-7,market-11:attachment
Markl-6,walk-7,day-2:time
Sophie-4,walk-7,market-11:attachment
Sophie-4,walk-7,day-2:time
crowd-6,comes-10,together-11:verb_complement
crowd-6,comes-10,harbor-3:prep_near
crowd-6,comes-10,suddenly-9:modifier
ship-15,arrives-16,port-18:site
<NULL>,scouring-12,crowd-14:recipient
Sophie-1,urges-2,Markl-3:recipient
<NULL>,dropping-7,harbor-11:modified_to
<NULL>,dropping-7,bombs-8:recipient
<NULL>,falling-17,ground-20:attachment
<NULL>,sending-13,leaflets-14:recipient
airship-3,flies-4,overhead-5:modifier
Sophie-1,rush-4,back-5:verb_complement
Markl-3,rush-4,back-5:verb_complement
<NULL>,wrapped-12,<NULL>
<NULL>,running-5,down-6:verb_complement
<NULL>,running-5,stairs-8:recipient
Howl-3,comes-4,Suddenly-1:modifier
<NULL>,turned-25,blonde-27:source
<NULL>,clutching-20,hair-23:recipient
<NULL>,howling-18,<NULL>
<NULL>,ruining-10,potions-14:recipient
Markl-1,yells-2,Sophie-4:site
<NULL>,saying-5,<NULL>
Sophie-6,moved-8,merely-7:modifier
Sophie-6,moved-8,things-9:recipient
Sophie-1,defends-2,herself-3:recipient
<NULL>,saying-17,<NULL>
<NULL>,living-24,<NULL>
<NULL>,turning-11,hair-14:recipient
Markl-7,looks-8,hideous-9:object
<NULL>,turning-11,hair-14:recipient
Markl-1,moans-5,<NULL>
<NULL>,turning-11,hair-14:recipient
Markl-1,sits-2,down-3:verb_complement
room-2,shadows-7,<NULL>
room-2,begins-3,<NULL>
girl-16,dumped-17,Markl-18:recipient
girl-16,dumped-17,when-14:modifier
Howl-4,summoning-6,spirits-7:recipient
girl-16,dumped-17,Markl-18:recipient
girl-16,dumped-17,when-14:modifier
Markl-1,says-2,<NULL>
Sophie-11,felt-14,life-18:recipient
Sophie-11,felt-14,never-13:negative
Sophie-11,runs-20,<NULL>
Markl-12,runs-13,out-14:verb_complement
Turniphead-1,approaches-2,her-3:recipient
Markl-12,runs-13,out-14:verb_complement
cheers-8,Sophie-9,up-10:verb_complement
cheers-8,Sophie-9,umbrella-6:recipient
Sophie-1,goes-2,inside-4:modifier
<NULL>,threatening-16,<NULL>
Markl-27,throwing-30,just-29:modifier
Markl-27,throwing-30,tantrum-32:recipient
<NULL>,slumped-8,<NULL>
Sophie-1,tells-22,Markl-25:recipient
Markl-12,clean-14,Markl-15:recipient
Sophie-10,instructs-11,where-9:modifier
Sophie-10,instructs-11,Markl-12:recipient
Sophie-1,helps-2,Markl-7:dependent
Sophie-1,helps-2,Markl-3:dependent
Markl-20,refuses-22,milk-17:recipient
Markl-20,refuses-22,silently-21:modifier
Markl-20,refuses-22,milk-17:recipient
Markl-20,refuses-22,silently-21:modifier
<NULL>,offering-13,Markl-14:recipient
<NULL>,offering-13,milk-17:recipient
Markl-20,refuses-22,milk-17:recipient
Markl-20,refuses-22,silently-21:modifier
Sophie-9,comes-10,in-11:verb_complement
Markl-20,refuses-22,milk-17:recipient
Markl-20,refuses-22,silently-21:modifier
Howl-1,rests-7,<NULL>
<NULL>,put-3,bed-5:attachment
<NULL>,put-3,Howl-1:recipient
Howl-8,asks-9,Sophie-10:recipient
Sophie-10,stay-12,<NULL>
Sophie-2,gets-3,up-4:verb_complement
Witch-5,admits-14,<NULL>
Witch-5,looking-10,Markl-12:destination
<NULL>,put-32,what-25:direction
Witch-5,admits-14,<NULL>
Markl-1,explains-2,<NULL>
Sophie-2,inquires-3,When-1:modifier
Howl-5,says-6,<NULL>
Howl-19,decided-20,<NULL>
Markl-2,ran-3,away-4:verb_complement
Markl-2,ran-3,So-1:dependent
<NULL>,summoned-27,palace-30:attachment
sighs-2,says-7,<NULL>
Markl-9,knows-10,<NULL>
Markl-11,hide-14,not-13:negative
Markl-11,hide-14,now-18:modifier
Markl-11,hide-14,ca-12:modal_verb
Markl-3,swore-4,Markl-9:medium
Sophie-11,understand-14,not-13:negative
subjects-30,think-31,what-27:recipient
Howl-1,asserts-9,<NULL>
subjects-30,think-31,what-27:recipient
Howl-1,claims-2,<NULL>
king-24,know-26,should-25:modal_verb
Howl-3,proposes-7,<NULL>
Sophie-9,go-10,palace-13:attachment
<NULL>,pretending-17,<NULL>
Howl-3,sits-4,Suddenly-1:modifier
Howl-3,sits-4,up-5:verb_complement
Sophie-1,agrees-3,reluctantly-2:modifier
Howl-7,uses-8,magic-11:recipient
Sophie-1,puts-2,<NULL>
<NULL>,bring-13,dress-19:modified_to
<NULL>,bring-13,back-16:verb_complement
<NULL>,bring-13,color-15:recipient
King-5,follow-22,Sophie-23:recipient
King-5,promises-20,<NULL>
<NULL>,guarantee-16,safety-18:recipient
<NULL>,guarantee-16,will-15:modal_verb
King-5,follow-22,Sophie-23:recipient
King-5,follow-22,Sophie-23:recipient
King-5,promises-20,<NULL>
<NULL>,wear-11,<NULL>
King-5,follow-22,Sophie-23:recipient
King-5,promises-20,<NULL>
King-13,says-14,<NULL>
King-5,follow-22,Sophie-23:recipient
King-5,promises-20,<NULL>
King-5,gives-6,Sophie-7:recipient
King-5,gives-6,ring-9:recipient
King-5,promises-20,<NULL>
Sophie-2,leaves-3,<NULL>
kind-16,take-21,what-15:recipient
kind-16,take-21,may-20:modal_verb
Sophie-23,walks-24,palace-27:direction
Sophie-11,tries-12,<NULL>
plane-17,flies-18,by-19:dependent
Sophie-1,figures-2,<NULL>
plane-17,flies-18,by-19:dependent
Sophie-29,muses-30,<NULL>
<NULL>,giggling-24,pilot-27:prep_beside
Sophie-2,continues-3,<NULL>
Sophie-1,takes-8,bark-12:recipient
Sophie-1,asks-2,<NULL>
men-12,come-22,Sophie-25:prep_beside
men-12,come-22,up-23:verb_complement
<NULL>,carrying-13,Witch-15:recipient
Sophie-2,approaches-3,palace-8:attachment
Sophie-2,approaches-3,steps-5:recipient
Witch-2,peeks-3,out-4:verb_complement
thanks-6,asks-13,<NULL>
Witch-2,peeks-3,out-4:verb_complement
Witch-2,peeks-3,out-4:verb_complement
thanks-6,Sophie-7,<NULL>
Sophie-12,started-13,him-16:destination
Sophie-12,started-13,work-14:recipient
Sophie-1,replies-2,curtly-3:modifier
Sophie-1,replies-2,so-18:dependent
Sophie-19,come-21,palace-24:attachment
Howl-5,been-7,baby-10:recipient
<NULL>,request-26,job-28:recipient
<NULL>,going-16,Witch-5:recipient
<NULL>,summoned-8,Witch-5:recipient
<NULL>,summoned-8,skills-11:destination
Witch-2,brags-3,<NULL>
sorcerer-26,seen-31,finally-30:modifier
sorcerer-26,seen-31,talent-33:recipient
Witch-12,remove-15,not-14:negative
Witch-12,remove-15,curse-17:recipient
Sophie-1,asks-2,<NULL>
<NULL>,leaving-15,<NULL>
<NULL>,leaving-15,<NULL>
