Katie_Holmes-56,played-54,Rachel_Dawes-52:recipient
Ducard-2,asks-3,Bruce-4:recipient
Bruce-6,feels-8,still-7:modifier
Bruce-6,feels-8,responsible-9:object
Bruce-4,feel-11,guilty-12:object
Bruce-1,responds-2,<NULL>
training-3,begins-9,<NULL>
<NULL>,trained-3,arts-6:is_participant_in
<NULL>,trained-3,Bruce-1:recipient
<NULL>,fought-28,must-26:modal_verb
<NULL>,fought-28,forms-23:recipient
<NULL>,murdered-8,wife-6:recipient
Bruce-16,achieved-17,vengeance-20:recipient
Bruce-16,achieved-17,when-15:modifier
Ducard-1,explains-2,<NULL>
Bruce-11,joined-12,League-14:recipient
Bruce-4,claim-7,not-6:negative
Bruce-4,claim-7,ca-5:modal_verb
Bruce-4,claim-7,vengeance-10:recipient
Bruce-1,reveals-2,<NULL>
<NULL>,killed-10,parents-8:recipient
<NULL>,killed-10,years-4:dependent
<NULL>,come-20,Joe_Chill-23:with_respect_to
<NULL>,come-20,home-21:modifier
<NULL>,Close-1,flashback-2:recipient
Bruce-12,arrives-13,Manor-16:site
Alfred-1,expresses-7,concern-10:recipient
Alfred-1,manages-3,still-2:modifier
Alfred-1,manages-3,house-5:recipient
Rachel-1,takes-9,Bruce-10:recipient
Rachel-1,takes-9,hearing-13:attachment
Bruce-13,plans-14,<NULL>
Bruce-13,shoot-16,down-18:modifier
<NULL>,released-22,Bruce-20:recipient
Bruce-5,concealing-7,revolver-9:recipient
<NULL>,given-17,Chill-5:recipient
Chill-5,expresses-6,remorse-7:recipient
Chill-5,expresses-6,murder-10:destination
Chill-5,expresses-6,hearing-3:is_participant_in
assassin-10,shoots-23,Chill-24:recipient
assassin-10,comes-15,However-1:modifier
assassin-10,comes-15,up-16:verb_complement
assassin-10,shoots-23,Chill-24:recipient
assassin-10,shoots-23,Chill-24:recipient
<NULL>,posing-11,<NULL>
Bruce-4,act-6,can-5:modal_verb
<NULL>,arrested-12,assassin-10:recipient
Chill-4,bleeds-5,death-7:attachment
Bruce-1,watches-2,<NULL>
Bruce-10,planning-12,<NULL>
Rachel-1,slaps-3,Bruce-4:recipient
Rachel-1,slaps-3,then-2:modifier
Rachel-1,slaps-3,harshly-5:modifier
Bruce-7,reveals-8,when-6:modifier
Dawes-1,tells-2,Bruce-3:recipient
Bruce-1,makes-11,bar-17:attachment
Bruce-1,makes-11,way-14:recipient
<NULL>,lose-9,<NULL>
Bruce-1,makes-11,bar-17:attachment
Bruce-1,makes-11,way-14:recipient
<NULL>,convinced-3,<NULL>
Falcone-1,brags-2,control-6:location_of
<NULL>,lose-16,<NULL>
Rachel-4,prove-8,<NULL>
Alfred-6,prove-8,<NULL>
Wilkinson-1,threatens-3,then-2:modifier
Wilkinson-1,threatens-3,Rachel-4:recipient
Wilkinson-1,threatens-3,Alfred-6:recipient
thugs-3,beat-4,leaves-9:recipient
thugs-3,beat-4,up-5:verb_complement
<NULL>,getting-13,<NULL>
<NULL>,involved-14,eventually-12:modifier
<NULL>,involved-14,operations-17:is_participant_in
<NULL>,infiltrate-21,order-19:dependent
<NULL>,infiltrate-21,thugs-22:recipient
<NULL>,shown-4,then-3:modifier
<NULL>,shown-4,Bruce-1:recipient
<NULL>,shown-4,China-6:is_participant_in
<NULL>,getting-13,<NULL>
<NULL>,involved-14,eventually-12:modifier
<NULL>,involved-14,operations-17:is_participant_in
<NULL>,infiltrate-21,order-19:dependent
<NULL>,infiltrate-21,thugs-22:recipient
<NULL>,stealing-7,food-8:recipient
<NULL>,sent-15,Bruce-1:recipient
<NULL>,sent-15,prison-18:attachment
Ducard-19,discovered-20,Bruce-21:recipient
<NULL>,stealing-11,crates-13:recipient
<NULL>,sent-15,Bruce-1:recipient
<NULL>,sent-15,prison-18:attachment
Ducard-19,discovered-20,Bruce-21:recipient
<NULL>,arrested-4,then-3:modifier
<NULL>,arrested-4,act-9:is_participant_in
<NULL>,arrested-4,Bruce-1:recipient
<NULL>,arrested-4,ironically-5:modifier
Bruce-21,faces-22,Ducard-23:recipient
<NULL>,Present-1,<NULL>
Bruce-21,faces-22,Ducard-23:recipient
Bruce-3,reaches-4,When-2:modifier
Bruce-3,reaches-4,level-7:recipient
<NULL>,brought-15,mountain-19:attachment
<NULL>,brought-15,up-16:verb_complement
<NULL>,exposed-5,However-1:modifier
<NULL>,exposed-5,beforehand-6:modifier
<NULL>,exposed-5,Bruce-3:recipient
<NULL>,exposed-5,vapors-9:attachment
smoke-2,distorts-3,senses-6:recipient
smoke-2,makes-8,bats-12:location_of
smoke-2,makes-8,hallucinate-10:recipient
Bruce-1,overcomes-2,phobia-5:recipient
Bruce-1,employs-7,best-12:attachment
Bruce-1,employs-7,trick-10:recipient
<NULL>,Ducard-13,fight-17:is_participant_in
al_Ghul-3,sends-4,Watanabe-6:with_respect_to
<NULL>,becoming-10,<NULL>
Ra-1,puts-3,Bruce-4:recipient
man-12,stolen-15,land-20:recipient
Bruce-1,refuses-2,<NULL>
<NULL>,razed-33,must-31:modal_verb
<NULL>,razed-33,League-30:recipient
evil-24,corrupted-22,extent-28:attachment
evil-24,corrupted-22,Gotham_City-18:recipient
Ra-1,reveals-3,Bruce-5:attachment
<NULL>,trained-10,order-12:is_participant_in
<NULL>,trained-10,Bruce-7:recipient
rest-24,escapes-28,wreckage-30:recipient
rest-24,escapes-28,safety-32:attachment
<NULL>,forced-16,<NULL>
Bruce-1,lighs-7,headquarters-11:recipient
Bruce-1,sets-2,diversion-4:recipient
beam-23,collapses-24,when-20:modifier
Bruce-6,manages-9,then-8:modifier
<NULL>,killed-18,instantly-19:modifier
<NULL>,killed-18,Ra-13:recipient
Bruce-6,knocked-3,Ducard-1:recipient
Bruce-6,knocked-3,out-4:verb_complement
Bruce-1,picks-2,up-3:verb_complement
Bruce-1,picks-2,Ducard-6:recipient
Bruce-1,picks-2,Bruce-9:recipient
Bruce-1,leaves-2,Ducard-3:recipient
Alfred-3,pick-12,up-14:verb_complement
Alfred-3,pick-12,Bruce-13:recipient
Alfred-3,arrives-6,jet-10:is_participant_in
Bruce-1,contacts-2,Alfred-3:recipient
Bruce-4,been-8,years-12:destination
Bruce-4,been-8,away-9:modifier
Earle-23,take-25,so-21:modifier
Earle-23,take-25,can-24:modal_verb
<NULL>,declared-17,Bruce-4:recipient
<NULL>,declared-17,dead-18:object
<NULL>,declared-17,legally-16:modifier
Alfred-1,reveals-2,<NULL>
Bruce-8,willed-9,Alfred-12:attachment
Bruce-8,willed-9,everything-10:recipient
Alfred-12,jokes-15,<NULL>
Bruce-17,borrow-21,RollsRoyceso-23:recipient
Bruce-1,says-2,<NULL>
criminals-23,fear-25,will-24:modal_verb
criminals-23,fear-25,persona-19:recipient
<NULL>,taking-15,<NULL>
criminals-23,fear-25,will-24:modal_verb
criminals-23,fear-25,persona-19:recipient
Bruce-1,explains-2,Alfred-4:attachment
Bruce-1,explains-2,plan-6:recipient
<NULL>,transferred-17,Victor_Zsaz_Tim_Booth-8:recipient
<NULL>,transferred-17,Arkham_Asylum-24:attachment
<NULL>,transferred-17,prison-21:compared_to
killer-6,named-7,Gotham-2:medium
Crane-15,goes-28,due-30:object
Crane-15,moved-18,<NULL>
Rachel-1,challenges-2,<NULL>
Crane-1,meets-2,<NULL>
boss-15,coming-17,city-20:attachment
Crane-5,threatens-6,Wilkinson-7:recipient
Falcone-2,refuses-3,When-1:modifier
Bruce-6,begins-7,<NULL>
what-11,happened-13,<NULL>
Manor-15,been-17,away-18:modifier
Manor-1,climbs-9,down-10:verb_complement
<NULL>,abandoned-6,<NULL>
Manor-1,climbs-9,down-10:verb_complement
Manor-1,goes-2,back-3:modifier
Bruce-18,finds-19,cave-22:recipient
<NULL>,filled-23,<NULL>
<NULL>,connected-29,bats-25:recipient
<NULL>,connected-29,foundations-33:attachment
<NULL>,attacked-12,Manor-10:recipient
<NULL>,attacked-12,childhood-16:is_participant_in
<NULL>,attacked-12,when-9:modifier
bats-7,appeared-8,crack-3:is_participant_in
Manor-8,establishes-9,cave-11:recipient
Bruce-1,decides-2,<NULL>
Bruce-14,makes-15,where-13:modifier
<NULL>,seducing-27,secretary-29:recipient
entrance-18,building-25,<NULL>
<NULL>,playing-31,golf-33:recipient
<NULL>,going-16,stage-21:site
<NULL>,going-16,public-17:recipient
Earle-9,prevent-12,company-14:recipient
Earle-9,prevent-12,not-11:negative
Earle-9,prevent-12,can-10:modal_verb
Earle-1,warns-6,Earle-7:recipient
<NULL>,shocked-4,clearly-3:modifier
Bruce-1,explains-2,<NULL>
Bruce-13,wants-14,<NULL>
<NULL>,bothered-7,Bruce-4:recipient
<NULL>,bothered-7,not-6:negative
Bruce-6,goes-7,<NULL>
Earle-1,sets-2,up-4:verb_complement
Earle-14,reassign-16,can-15:modal_verb
Earle-14,reassign-16,employees-17:recipient
Earle-14,reassign-16,where-13:modifier
Earle-18,considers-19,troublemakers-20:recipient
Fox-1,explains-2,Bruce-4:attachment
Fox-1,introduces-2,some-5:attachment
Fox-1,introduces-2,Bruce-3:recipient
suit-12,stop-15,knives-16:recipient
suit-12,stop-15,gun-19:recipient
suit-12,stop-15,will-14:modal_verb
Army-16,think-19,soldiers-20:recipient
Army-16,think-19,not-18:negative
Fox-3,shows-4,Bruce-6:attachment
items-2,include-7,harness-14:recipient
items-2,include-7,gun-10:recipient
<NULL>,grappling-9,<NULL>
Bruce-6,borrow-8,gear-11:recipient
Bruce-6,borrow-8,can-7:modal_verb
Bruce-1,asks-3,casually-2:modifier
Bruce-1,asks-3,Fox-4:recipient
Bruce-20,expecting-22,why-19:modifier
Fox-1,allows-2,gear-3:recipient
<NULL>,leading-26,up-28:modifier
<NULL>,leading-26,back-27:verb_complement
Bruce-1,continues-2,<NULL>
<NULL>,spraypainting-15,wing-16:recipient
Bruce-1,begins-3,also-2:modifier
<NULL>,spraypainting-15,wing-16:recipient
<NULL>,adding-11,gauntlets-13:recipient
<NULL>,spraypainting-15,wing-16:recipient
Bruce-9,borrowed-10,<NULL>
<NULL>,promoted-40,sergeant-42:attachment
<NULL>,promoted-40,Gordon-37:recipient
we-34,saw-36,last-35:modifier
Bruce-6,breaks-23,office-27:modified_to
Bruce-6,goes-16,station-20:attachment
Bruce-6,breaks-23,office-27:modified_to
<NULL>,grappling-13,<NULL>
Bruce-6,breaks-23,office-27:modified_to
Bruce-6,dons-7,later-4:modifier
Bruce-6,dons-7,mask-10:recipient
Bruce-6,dons-7,gear-14:recipient
<NULL>,threatening-2,Bruce-3:recipient
gun-18,take-20,what-17:recipient
gun-18,take-20,would-19:modal_verb
Bruce-13,questions-14,Gordon-15:recipient
Gordon-1,responds-2,leverage-4:recipient
<NULL>,prosecute-4,<NULL>
<NULL>,needed-7,will-5:modal_verb
<NULL>,jumping-14,roof-17:recipient
<NULL>,jumping-14,off-15:verb_complement
Bruce-1,tells-2,Gordon-3:recipient
sign-8,proves-9,worthless-10:object
Gordon-1,tries-2,<NULL>
<NULL>,chase-12,nut-15:recipient
Bruce-1,realizes-2,now-3:modifier
Gordon-5,needs-6,fabric-9:recipient
<NULL>,make-11,wing-14:recipient
Fox-22,shows-23,Fox-24:recipient
Fox-22,shows-23,BASEjumping-19:dependent
Fox-22,shows-23,Fox-24:recipient
Fox-22,shows-23,BASEjumping-19:dependent
molecules-38,form-41,type-43:recipient
molecules-38,realign-39,so-35:modifier
material-27,called-28,cloth-30:recipient
current-50,passes-51,when-47:modifier
<NULL>,designed-34,cloth-30:recipient
Gordon-1,asks-7,<NULL>
molecules-38,form-41,type-43:recipient
Fox-22,shows-23,Fox-24:recipient
Fox-22,shows-23,BASEjumping-19:dependent
molecules-38,form-41,type-43:recipient
molecules-38,realign-39,so-35:modifier
material-27,called-28,cloth-30:recipient
current-50,passes-51,when-47:modifier
<NULL>,designed-34,cloth-30:recipient
technology-12,suit-16,would-15:modal_verb
technology-12,suit-16,Gordon-17:recipient
molecules-38,realign-39,so-35:modifier
material-27,called-28,cloth-30:recipient
current-50,passes-51,when-47:modifier
<NULL>,designed-34,cloth-30:recipient
Gordon-1,goes-2,back-3:verb_complement
Gordon-1,goes-2,Fox-5:attachment
Bruce-1,takes-3,then-2:modifier
Bruce-1,takes-3,interest-4:recipient
Bruce-1,takes-3,transport-8:is_participant_in
<NULL>,called-9,Tumbler-11:recipient
Fox-11,explains-12,<NULL>
<NULL>,built-16,interest-14:recipient
Gordon-2,drives-3,interest-4:recipient
rocket-25,send-28,can-27:modal_verb
rocket-25,send-28,vehicle-30:recipient
rocket-25,send-28,jump-34:modified_to
interest-1,accelerate-5,speeds-8:attachment
rocket-25,send-28,can-27:modal_verb
rocket-25,send-28,vehicle-30:recipient
rocket-25,send-28,jump-34:modified_to
<NULL>,tricked-11,out-12:verb_complement
<NULL>,tricked-11,interest-1:recipient
Fox-8,asks-9,Bruce-10:recipient
Fox-8,asks-9,end-3:site
Fox-12,thinks-13,Bruce-10:recipient
Bruce-16,adds-17,suit-23:attachment
Bruce-16,adds-17,modifications-19:recipient
<NULL>,come-8,Back-11:is_participant_in
Gordon-1,makes-2,shape-7:is_participant_in
Gordon-1,makes-2,shurikens-4:recipient
Gordon-6,chosen-8,bat-10:recipient
Gordon-1,explains-2,Alfred-4:attachment
enemies-26,shared-27,dread-30:recipient
thugs-18,unload-19,shipment-21:recipient
Falcone-5,watching-15,docks-3:site
officer-10,watching-15,docks-3:site
<NULL>,stuffed-7,rabbits-10:recipient
<NULL>,stuffed-7,bears-8:recipient
<NULL>,concealed-4,drugs-2:recipient
<NULL>,concealed-4,toys-6:is_participant_in
dealers-16,vanish-17,darkness-20:time_inside
<NULL>,vanish-8,However-1:modifier
<NULL>,vanish-8,mysteriously-7:modifier
<NULL>,disappear-7,<NULL>
others-3,investigate-4,<NULL>
Batman-2,disposes-4,quickly-3:modifier
<NULL>,bound-19,way-31:is_participant_in
<NULL>,bound-19,searchlight-22:attachment
officers-5,arrive-6,<NULL>
<NULL>,shadowed-13,<NULL>
Rachel-3,getting-5,Meanwhile-1:modifier
Rachel-3,getting-5,train-9:recipient
Rachel-3,getting-5,off-6:verb_complement
Dawes-1,threatens-5,Gordon-6:recipient
Dawes-1,notices-2,<NULL>
Gordon-6,sees-7,when-5:modifier
Gordon-1,runs-2,fear-4:is_participant_in
Dawes-4,screams-5,sight-8:site
Rachel-2,turns-3,<NULL>
officer-13,shows-14,up-15:verb_complement
Batman-1,disappears-9,then-8:modifier
<NULL>,compromising-4,Faden-6:recipient
officer-13,shows-14,up-15:verb_complement
Batman-1,disappears-9,then-8:modifier
Batman-1,produces-2,photographs-3:recipient
<NULL>,talking-14,<NULL>
<NULL>,meant-15,police-13:recipient
Rachel-1,decide-9,<NULL>
office-8,decide-9,<NULL>
<NULL>,put-16,Falcone-17:recipient
vigilante-28,given-23,Rachel-25:attachment
Alfred-1,wakes-2,Bruce-3:recipient
Alfred-1,wakes-2,up-4:verb_complement
Alfred-1,informs-2,Bruce-3:recipient
Alfred-10,buy-34,things-35:recipient
Alfred-10,buy-34,would-11:modal_verb
Alfred-10,buy-34,normally-12:modifier
<NULL>,raise-19,suspicion-20:recipient
Alfred-5,live-7,life-9:recipient
Alfred-5,live-7,must-6:modal_verb
<NULL>,said-30,<NULL>
<NULL>,killed-35,apparently-33:modifier
<NULL>,killed-35,crew-28:recipient
<NULL>,stolen-18,one-20:compared_to
<NULL>,stolen-18,weapon-10:recipient
<NULL>,said-30,<NULL>
<NULL>,killed-35,apparently-33:modifier
<NULL>,killed-35,crew-28:recipient
<NULL>,gets-5,word-6:recipient
<NULL>,gets-5,Earle-1:modifier
<NULL>,gets-5,meanwhile-3:modifier
weapon-6,uses-9,<NULL>
Bruce-1,takes-2,quite-6:modifier
Bruce-1,takes-2,advice-5:recipient
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,purchasing-40,hotel-42:recipient
Bruce-33,resolves-34,<NULL>
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,writing-36,check-38:recipient
escorts-16,get-20,almost-19:modifier
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,purchasing-40,hotel-42:recipient
Bruce-33,resolves-34,<NULL>
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,writing-36,check-38:recipient
Bruce-21,kicked-22,out-23:verb_complement
Bruce-21,kicked-22,fountain-29:is_participant_in
Bruce-21,kicked-22,bathing-25:time_between
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,purchasing-40,hotel-42:recipient
Bruce-33,resolves-34,<NULL>
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,writing-36,check-38:recipient
<NULL>,starts-2,<NULL>
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,purchasing-40,hotel-42:recipient
Bruce-33,resolves-34,<NULL>
<NULL>,purchasing-40,hotel-42:recipient
<NULL>,writing-36,check-38:recipient
<NULL>,going-5,hotel-12:site
<NULL>,going-5,party-9:attachment
<NULL>,returning-10,China-12:origin_value
<NULL>,meets-3,Rachel-4:recipient
<NULL>,meets-3,Gordon-2:modifier
Rachel-18,tells-19,Gordon-20:recipient
Gordon-2,tries-3,<NULL>
what-31,defines-35,you-36:recipient
Gordon-10,acting-12,<NULL>
Falcone-1,cut-3,wrists-6:recipient
<NULL>,brought-3,Crane-1:recipient
<NULL>,brought-3,in-4:verb_complement
Falcone-6,demands-7,Dr-9:recipient
<NULL>,'re-3,<NULL>
Wilkinson-19,been-21,trafficking-22:recipient
return-5,suggesting-9,not-8:negative
return-5,suggesting-9,police-11:recipient
Crane-1,thinks-2,moment-5:destination
Crane-1,asks-3,then-2:modifier
Crane-1,asks-3,Falcone-4:recipient
patients-26,stand-29,not-28:negative
patients-26,stand-29,ca-27:modal_verb
Crane-6,wants-7,<NULL>
Crane-12,uses-13,Asylum-20:site
Crane-12,uses-13,experiments-17:is_participant_in
Crane-23,says-24,Asylum-20:recipient
Crane-1,pulls-2,mask-5:recipient
Crane-1,pulls-2,briefcase-10:object
mask-12,acts-15,<NULL>
Crane-1,puts-9,<NULL>
Crane-1,releases-2,gas-3:recipient
Crane-1,releases-2,suitcase-7:raw_material
Falcone-1,screams-2,hallucinations-7:site
gas-11,caused-8,<NULL>
<NULL>,stored-11,away-12:modifier
<NULL>,seen-4,Crane-1:recipient
<NULL>,heard-21,still-19:modifier
<NULL>,heard-21,can-18:modal_verb
<NULL>,heard-21,screams-17:recipient
<NULL>,moved-13,Crane-1:recipient
<NULL>,moved-13,Asylum-16:attachment
<NULL>,moved-13,should-11:modal_verb
Falcone-6,faking-9,not-8:negative
<NULL>,moved-13,Crane-1:recipient
<NULL>,moved-13,Asylum-16:attachment
<NULL>,moved-13,should-11:modal_verb
Crane-1,tells-2,warden-4:recipient
Batman-4,tells-11,Batman-12:recipient
drugs-17,brought-18,in-19:verb_complement
Batman-4,pays-5,Gordon-9:attachment
Batman-4,pays-5,visit-7:recipient
<NULL>,making-19,escape-22:recipient
Batman-14,identified-15,docks-18:site
Batman-14,identified-15,Flass-11:recipient
Batman-1,conclude-4,<NULL>
Gordon-3,conclude-4,<NULL>
<NULL>,making-19,escape-22:recipient
Batman-14,identified-15,docks-18:site
Batman-14,identified-15,Flass-11:recipient
night-6,help-8,would-7:modal_verb
Flass-1,pickpocketing-3,money-4:recipient
Flass-1,pickpocketing-3,vendor-8:performer
<NULL>,suspended-22,cord-27:compared_to
<NULL>,flown-16,rooftops-20:attachment
<NULL>,flown-16,upsidedown-17:recipient
<NULL>,flown-16,Flass-10:recipient
<NULL>,suspended-22,cord-27:compared_to
Flass-10,springs-11,trap-13:recipient
<NULL>,suspended-22,cord-27:compared_to
<NULL>,flown-16,rooftops-20:attachment
<NULL>,flown-16,upsidedown-17:recipient
<NULL>,flown-16,Flass-10:recipient
<NULL>,suspended-22,cord-27:compared_to
Flass-2,walks-3,alley-8:modified_to
Flass-2,walks-3,away-4:verb_complement
Flass-5,tells-6,Batman-7:recipient
<NULL>,hidden-32,rabbits-35:is_participant_in
rabbits-17,make-18,Narrows-23:attachment
rabbits-17,make-18,way-20:recipient
returns-2,disappears-8,<NULL>
returns-2,Flass-3,ground-6:attachment
assassin-15,shot-10,boss-5:recipient
assassin-15,shot-10,Meanwhile-1:modifier
<NULL>,disguised-16,<NULL>
<NULL>,killed-12,boss-5:recipient
Finch-22,finds-23,when-21:modifier
Batman-1,finds-11,<NULL>
apartment-13,stuffed-14,<NULL>
Batman-1,makes-2,way-5:recipient
Batman-1,makes-2,back-6:modifier
toys-18,stuffed-19,<NULL>
Crane-1,Batman-9,<NULL>
Crane-1,enter-7,hides-10:recipient
thugs-6,douse-7,gasoline-8:recipient
Batman-1,beats-7,thugs-10:recipient
Batman-1,comes-2,hiding-5:object
<NULL>,using-22,cylinders-24:recipient
<NULL>,hidden-25,cuffs-30:is_participant_in
<NULL>,used-18,<NULL>
Crane-1,gases-11,<NULL>
Crane-1,emerges-9,Crane-12:recipient
Batman-1,scrambles-8,<NULL>
<NULL>,hallucinating-10,parents-15:recipient
<NULL>,hallucinating-10,death-17:recipient
<NULL>,hallucinating-10,bats-11:recipient
